File name::assembly/qc/phased_hifiasm/T2T04_hifiasm_porec/haplotype1.mapped_T2T.paf, l.n::1829
h1tg000001l	160836181	11524	160832965	-	chr7	160567428	3497	160565235
h1tg000002l	101474763	4220056	101466529	+	chr14	101161492	3445951	101160083
h1tg000003l	242215857	7707	242205473	+	chr2	242696752	3349	242694021
h1tg000004l	191276788	8820	191240262	+	chr4	193574945	3279	193514155
h1tg000005l	134292424	8073	134285602	-	chr10	134758134	3015	134755006
h1tg000006l	92880003	7916	92873232	+	chr16	96330374	3432	96327739
h1tg000007l	134079882	193120	134069152	+	chr12	133324548	194128	133314091
h1tg000008l	172724170	8448	172619310	-	chr6	172126628	2875	172124067
h1tg000009l	80003582	6134	79992668	-	chr18	80542538	164426	80538994
h1tg000010l	66505469	10493	66486506	+	chr20	66210255	2489	66196287
h1tg000011l	202915012	17314	202908044	-	chr3	201105948	2299	201088876
h1tg000012l	251280945	12562	251272423	-	chr1	248387328	2717	248384215
h1tg000013l	182840028	10760	182832240	+	chr5	182045439	2293	182044023
h1tg000018l	134878328	7459	134722999	+	chr9	150617247	3538	150547900
h1tg000019l	84748934	5146	84641593	-	chr17	84276897	102629	84274048
h1tg000020l	61571069	7956	61564378	-	chr19	61707364	3074	61704428
h1tg000021l	51891989	7591	51627544	-	chrY	62460029	267583	62452881
h1tg000022l	154346757	6188	154137839	-	chrX	154259566	187575	154257064
h1tg000023l	134556221	9332	134451947	-	chr11	135127769	308655	135125243
h1tg000024l	145979348	5153	145972167	+	chr8	146259331	1927	146254006
h1tg000025l	46519338	8187	46359893	-	chr21	45090682	254618	45086134
