sample	category	subcategory	var_type	count	percentage
T2T04_2	total	all_variants	all	5371451	100.0
T2T04_2	variant_type	DEL	DEL	598918	11.150022591660987
T2T04_2	variant_type	INS	INS	528494	9.838942959732854
T2T04_2	variant_type	MNV	MNV	2171	0.04041738442741077
T2T04_2	variant_type	SNV	SNV	4241868	78.97061706417875
T2T04_2	ti_tv	transitions	SNV	2673669	1.7049296677271188
T2T04_2	ti_tv	transversions	SNV	1568199	1.7049296677271188
T2T04_2	zygosity	HET	all	3808917	70.91039274117924
T2T04_2	zygosity	HOM_ALT	all	1562534	29.089607258820756
T2T04_2	zygosity	HET	DEL	427179	71.32512297175907
T2T04_2	zygosity	HOM_ALT	DEL	171739	28.67487702824093
T2T04_2	zygosity	HET	INS	376798	71.29655208952231
T2T04_2	zygosity	HOM_ALT	INS	151696	28.7034479104777
T2T04_2	zygosity	HET	MNV	2171	100.0
T2T04_2	zygosity	HET	SNV	3002769	70.78883642772476
T2T04_2	zygosity	HOM_ALT	SNV	1239099	29.211163572275233
T2T04_2	haplotype	both	all	1562534	29.089607258820756
T2T04_2	haplotype	haplotype1	all	1886039	35.112281579037024
T2T04_2	haplotype	haplotype2	all	1922878	35.79811116214222
T2T04_2	haplotype	both	DEL	171739	28.67487702824093
T2T04_2	haplotype	haplotype1	DEL	214738	35.85432396421547
T2T04_2	haplotype	haplotype2	DEL	212441	35.470799007543604
T2T04_2	haplotype	both	INS	151696	28.7034479104777
T2T04_2	haplotype	haplotype1	INS	190552	36.05566004533637
T2T04_2	haplotype	haplotype2	INS	186246	35.240892044185934
T2T04_2	haplotype	haplotype1	MNV	1123	51.7273146015661
T2T04_2	haplotype	haplotype2	MNV	1048	48.2726853984339
T2T04_2	haplotype	both	SNV	1239099	29.211163572275233
T2T04_2	haplotype	haplotype1	SNV	1479626	34.88147203071854
T2T04_2	haplotype	haplotype2	SNV	1523143	35.907364397006226
T2T04_2	phasing	phased	all	5371451	100.0
T2T04_2	phasing	phased	DEL	598918	100.0
T2T04_2	phasing	phased	INS	528494	100.0
T2T04_2	phasing	phased	MNV	2171	100.0
T2T04_2	phasing	phased	SNV	4241868	100.0
T2T04_2	allelic	biallelic	all	5003487	93.14963498689647
T2T04_2	allelic	multiallelic	all	367964	6.850365013103536
T2T04_2	allelic	biallelic	DEL	452538	75.55925852954829
T2T04_2	allelic	multiallelic	DEL	146380	24.440741470451716
T2T04_2	allelic	biallelic	INS	424011	80.23004991542004
T2T04_2	allelic	multiallelic	INS	104483	19.769950084579957
T2T04_2	allelic	multiallelic	MNV	2171	100.0
T2T04_2	allelic	biallelic	SNV	4126938	97.29058047067942
T2T04_2	allelic	multiallelic	SNV	114930	2.7094195293205727
T2T04_2	filter	PASS	all	5069762	94.38347292007317
T2T04_2	filter	GAP1	all	131274	2.4439206463951733
T2T04_2	filter	GAP2	all	149297	2.779453819833784
T2T04_2	filter	HET1	all	15580	0.29005198036806074
T2T04_2	filter	HET2	all	5538	0.10310063332980232
T2T04_2	indel_size	11-20bp	all	60349	1.123513925753023
T2T04_2	indel_size	1bp	all	513909	9.567414838188043
T2T04_2	indel_size	2-5bp	all	393931	7.333791186031484
T2T04_2	indel_size	21-50bp	all	32041	0.5965054879957017
T2T04_2	indel_size	6-10bp	all	96273	1.7923090055182482
T2T04_2	indel_size	>50bp	all	30909	0.575431107907342
T2T04_2	indel_size	11-20bp	DEL	31883	5.323433257975215
T2T04_2	indel_size	1bp	DEL	264308	44.130916085340566
T2T04_2	indel_size	2-5bp	DEL	220269	36.777822673554645
T2T04_2	indel_size	21-50bp	DEL	16554	2.763984385174598
T2T04_2	indel_size	6-10bp	DEL	50427	8.41968349590428
T2T04_2	indel_size	>50bp	DEL	15477	2.584160102050698
T2T04_2	indel_size	11-20bp	INS	28466	5.3862484720734765
T2T04_2	indel_size	1bp	INS	249601	47.22872918140982
T2T04_2	indel_size	2-5bp	INS	173662	32.859786487642246
T2T04_2	indel_size	21-50bp	INS	15487	2.930402237300707
T2T04_2	indel_size	6-10bp	INS	45846	8.674838314153046
T2T04_2	indel_size	>50bp	INS	15432	2.9199953074207086
T2T04_2	chromosome	chr1	all	389048	7.242884650721006
T2T04_2	chromosome	chr2	all	372481	6.9344577470780235
T2T04_2	chromosome	chr3	all	344021	6.404619533902478
T2T04_2	chromosome	chr4	all	331819	6.17745558881576
T2T04_2	chromosome	chr5	all	300144	5.587763902156047
T2T04_2	chromosome	chr6	all	338007	6.292657235447181
T2T04_2	chromosome	chr7	all	292286	5.441471959811231
T2T04_2	chromosome	chr8	all	258776	4.817618181753868
T2T04_2	chromosome	chr9	all	239752	4.463449447830763
T2T04_2	chromosome	chrX	all	200594	3.734447172654093
T2T04_2	chromosome	chr10	all	227824	4.241386545274266
T2T04_2	chromosome	chr11	all	272583	5.074662321223818
T2T04_2	chromosome	chr12	all	218974	4.076626594936824
T2T04_2	chromosome	chr13	all	186373	3.4696956185581884
T2T04_2	chromosome	chr14	all	201660	3.7542928344687496
T2T04_2	chromosome	chr15	all	214726	3.9975418187748524
T2T04_2	chromosome	chr16	all	182458	3.3968102845953543
T2T04_2	chromosome	chr17	all	169927	3.1635213650836618
T2T04_2	chromosome	chr18	all	136407	2.5394814175908893
T2T04_2	chromosome	chr19	all	146675	2.7306401938694034
T2T04_2	chromosome	chr20	all	131119	2.4410350201463253
T2T04_2	chromosome	chr21	all	94299	1.7555591589684054
T2T04_2	chromosome	chr22	all	121498	2.2619214063388084
T2T04_2	chromosome	chr1	DEL	46189	7.712074106972907
T2T04_2	chromosome	chr2	DEL	45338	7.569984538784942
T2T04_2	chromosome	chr3	DEL	37854	6.32039778400382
T2T04_2	chromosome	chr4	DEL	36320	6.064269232182035
T2T04_2	chromosome	chr5	DEL	34276	5.722987120106592
T2T04_2	chromosome	chr6	DEL	34952	5.835857329383989
T2T04_2	chromosome	chr7	DEL	33106	5.52763483481879
T2T04_2	chromosome	chr8	DEL	27836	4.647714712197663
T2T04_2	chromosome	chr9	DEL	28807	4.8098404122100185
T2T04_2	chromosome	chrX	DEL	23666	3.951459131300111
T2T04_2	chromosome	chr10	DEL	27558	4.6012976734711595
T2T04_2	chromosome	chr11	DEL	25581	4.271202401664334
T2T04_2	chromosome	chr12	DEL	27830	4.646712905606443
T2T04_2	chromosome	chr13	DEL	20852	3.4816118400181657
T2T04_2	chromosome	chr14	DEL	19483	3.2530329694549174
