File name::assembly/qc/phased_hprc/HG02083/haplotype2.mapped_T2T.paf, l.n::1911
HG02083#2#CM086963.1	242013073	12315	242002486	+	chr2	242696752	3127	242693881
HG02083#2#CM086964.1	182892093	166469	182882288	+	chr5	182045439	156945	182043960
HG02083#2#CM086965.1	171645892	174253	171635317	+	chr6	172126628	2875	172122176
HG02083#2#CM086966.1	146247626	12789	146236615	+	chr8	146259331	2514	146257115
HG02083#2#CM086967.1	137081706	13769	137078612	+	chr9	150617247	4483	150614296
HG02083#2#CM086968.1	136000131	460040	135987206	+	chr11	135127769	482249	135125229
HG02083#2#CM086969.1	134284582	202429	134273048	+	chr12	133324548	194128	133322223
HG02083#2#CM086970.1	101641454	2501489	101631234	+	chr14	101161492	1310092	101159975
HG02083#2#CM086971.1	85346840	12488	85270548	+	chr16	96330374	3490	96257617
HG02083#2#CM086972.1	83639201	70153	83425761	+	chr17	84276897	46684	83925851
HG02083#2#CM086973.1	61303057	141539	61219735	+	chr19	61707364	152469	61635296
HG02083#2#CM086974.1	65329015	12660	65164085	+	chr20	66210255	3122	66053798
HG02083#2#JBHDTW010000015.1	42964879	232444	42953337	+	chr21	45090682	228949	45086241
HG02083#2#JBHDTW010000041.1	135669605	5262	135669605	+	chr10	134758134	3218	134640242
HG02083#2#JBHDTW010000042.1	161289364	106474	161289364	+	chr7	160567428	51249	160548476
