#sample	chromosome	dataset_name0	dataset_name1	file_name0	file_name1	intersection_blocks	covered_variants	all_assessed_pairs	all_switches	all_switch_rate	all_switchflips	all_switchflip_rate	blockwise_hamming	blockwise_hamming_rate	blockwise_diff_genotypes	blockwise_diff_genotypes_rate	largestblock_assessed_pairs	largestblock_switches	largestblock_switch_rate	largestblock_switchflips	largestblock_switchflip_rate	largestblock_hamming	largestblock_hamming_rate	largestblock_diff_genotypes	largestblock_diff_genotypes_rate	het_variants0	only_snvs
SAMPLE	chr1	giab	assembly	assembly/qc/phased_hifiasm/T2T00_hifiasm_porec/giab.filtered.vcf.gz	assembly/qc/phased_hifiasm/T2T00_hifiasm_porec/assembly.filtered.vcf.gz	1	31507	31506	1791	0.0568463149876214	975/408	0.043896400685583696	15514	0.49239851461579964	0	0.0	31506	1791	0.0568463149876214	975/408	0.043896400685583696	15514	0.49239851461579964	0	0.0	132544	0
SAMPLE	chr10	giab	assembly	assembly/qc/phased_hifiasm/T2T00_hifiasm_porec/giab.filtered.vcf.gz	assembly/qc/phased_hifiasm/T2T00_hifiasm_porec/assembly.filtered.vcf.gz	1	21471	21470	1237	0.0576152771308803	679/279	0.04462040055891942	9879	0.46010898421126173	0	0.0	21470	1237	0.0576152771308803	679/279	0.04462040055891942	9879	0.46010898421126173	0	0.0	73634	0
SAMPLE	chr11	giab	assembly	assembly/qc/phased_hifiasm/T2T00_hifiasm_porec/giab.filtered.vcf.gz	assembly/qc/phased_hifiasm/T2T00_hifiasm_porec/assembly.filtered.vcf.gz	1	18820	18819	1092	0.05802646261756735	612/240	0.045273393910409694	9155	0.4864505844845909	0	0.0	18819	1092	0.05802646261756735	612/240	0.045273393910409694	9155	0.4864505844845909	0	0.0	67923	0
SAMPLE	chr12	giab	assembly	assembly/qc/phased_hifiasm/T2T00_hifiasm_porec/giab.filtered.vcf.gz	assembly/qc/phased_hifiasm/T2T00_hifiasm_porec/assembly.filtered.vcf.gz	1	18285	18284	1131	0.06185736162765259	601/265	0.047363815357689784	8456	0.4624555646704949	0	0.0	18284	1131	0.06185736162765259	601/265	0.047363815357689784	8456	0.4624555646704949	0	0.0	68096	0
SAMPLE	chr13	giab	assembly	assembly/qc/phased_hifiasm/T2T00_hifiasm_porec/giab.filtered.vcf.gz	assembly/qc/phased_hifiasm/T2T00_hifiasm_porec/assembly.filtered.vcf.gz	1	14847	14846	781	0.05260676276438098	421/180	0.040482284790515966	6989	0.4707348285848993	0	0.0	14846	781	0.05260676276438098	421/180	0.040482284790515966	6989	0.4707348285848993	0	0.0	53292	0
SAMPLE	chr14	giab	assembly	assembly/qc/phased_hifiasm/T2T00_hifiasm_porec/giab.filtered.vcf.gz	assembly/qc/phased_hifiasm/T2T00_hifiasm_porec/assembly.filtered.vcf.gz	1	13292	13291	769	0.05785870137687157	429/170	0.045068091189526746	6170	0.4641889858561541	0	0.0	13291	769	0.05785870137687157	429/170	0.045068091189526746	6170	0.4641889858561541	0	0.0	79921	0
SAMPLE	chr15	giab	assembly	assembly/qc/phased_hifiasm/T2T00_hifiasm_porec/giab.filtered.vcf.gz	assembly/qc/phased_hifiasm/T2T00_hifiasm_porec/assembly.filtered.vcf.gz	1	12225	12224	751	0.06143651832460733	365/193	0.045647905759162305	6027	0.49300613496932516	0	0.0	12224	751	0.06143651832460733	365/193	0.045647905759162305	6027	0.49300613496932516	0	0.0	74124	0
SAMPLE	chr16	giab	assembly	assembly/qc/phased_hifiasm/T2T00_hifiasm_porec/giab.filtered.vcf.gz	assembly/qc/phased_hifiasm/T2T00_hifiasm_porec/assembly.filtered.vcf.gz	1	13025	13024	869	0.06672297297297297	485/192	0.05198095823095823	6416	0.4925911708253359	0	0.0	13024	869	0.06672297297297297	485/192	0.05198095823095823	6416	0.4925911708253359	0	0.0	55370	0
SAMPLE	chr17	giab	assembly	assembly/qc/phased_hifiasm/T2T00_hifiasm_porec/giab.filtered.vcf.gz	assembly/qc/phased_hifiasm/T2T00_hifiasm_porec/assembly.filtered.vcf.gz	1	11746	11745	747	0.06360153256704981	431/158	0.05014899957428693	5029	0.42814575174527497	0	0.0	11745	747	0.06360153256704981	431/158	0.05014899957428693	5029	0.42814575174527497	0	0.0	44331	0
SAMPLE	chr18	giab	assembly	assembly/qc/phased_hifiasm/T2T00_hifiasm_porec/giab.filtered.vcf.gz	assembly/qc/phased_hifiasm/T2T00_hifiasm_porec/assembly.filtered.vcf.gz	1	10712	10711	728	0.06796751003641116	414/157	0.053309681635701614	5000	0.46676624346527257	0	0.0	10711	728	0.06796751003641116	414/157	0.053309681635701614	5000	0.46676624346527257	0	0.0	40782	0
SAMPLE	chr19	giab	assembly	assembly/qc/phased_hifiasm/T2T00_hifiasm_porec/giab.filtered.vcf.gz	assembly/qc/phased_hifiasm/T2T00_hifiasm_porec/assembly.filtered.vcf.gz	1	7253	7252	666	0.09183673469387756	342/162	0.0694980694980695	3606	0.4971735833448228	0	0.0	7252	666	0.09183673469387756	342/162	0.0694980694980695	3606	0.4971735833448228	0	0.0	35433	0
SAMPLE	chr2	giab	assembly	assembly/qc/phased_hifiasm/T2T00_hifiasm_porec/giab.filtered.vcf.gz	assembly/qc/phased_hifiasm/T2T00_hifiasm_porec/assembly.filtered.vcf.gz	1	33566	33565	1899	0.05657679130046179	1073/413	0.04427230746313124	16751	0.49904665435261875	0	0.0	33565	1899	0.05657679130046179	1073/413	0.04427230746313124	16751	0.49904665435261875	0	0.0	110375	0
SAMPLE	chr20	giab	assembly	assembly/qc/phased_hifiasm/T2T00_hifiasm_porec/giab.filtered.vcf.gz	assembly/qc/phased_hifiasm/T2T00_hifiasm_porec/assembly.filtered.vcf.gz	1	8721	8720	619	0.07098623853211009	353/133	0.05573394495412844	4185	0.47987616099071206	0	0.0	8720	619	0.07098623853211009	353/133	0.05573394495412844	4185	0.47987616099071206	0	0.0	40004	0
