sample	contig	chromosome	contig_length	gap_length	ref_length	motif_length	n_gaps	total_gap_length_bed	mean_gap_size	max_gap_size	min_gap_size	gap_density	classification
T2T00_2	haplotype2-0000434	chr11	135108812	122500	135127769	135108812	4	122500	30625.0	100000	7500	0.03	scaffold
T2T00_2	haplotype2-0000412	chr12	132525670	107500	133324548	132525670	2	107500	53750.0	100000	7500	0.02	scaffold
T2T00_2	haplotype2-0000459	chr17	84020898	207500	84276897	84020898	3	207500	69166.7	100000	7500	0.04	scaffold
T2T00_2	haplotype2-0000439	chr18	79335598	181777	80542538	79335598	5	181777	36355.4	100000	1500	0.06	scaffold
T2T00_2	haplotype2-0000426	chr19	61161356	7500	61707364	61161356	1	7500	7500.0	7500	7500	0.02	scaffold
T2T00_2	haplotype2-0000411	chr20	65612924	0	66210255	65612924	0	0	0.0	0	0	0.0	contig
T2T00_2	haplotype2-0000464	chr3	199755894	15000	201105948	199755894	2	15000	7500.0	7500	7500	0.01	scaffold
T2T00_2	haplotype2-0000429	chr4	191152381	100000	193574945	191152381	1	100000	100000.0	100000	100000	0.01	scaffold
T2T00_2	haplotype2-0000452	chr7	161399179	106666	160567428	161399179	6	106666	17777.7	69166	7500	0.04	scaffold
T2T00_2	haplotype2-0000413	chr8	140629332	322500	146259331	140629332	6	322500	53750.0	100000	7500	0.04	scaffold
