#sample	chromosome	file_name	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	phased_fraction	phased_snvs_fraction	block_n50
syndip	chr1	assembly/variants/published_duplex/small_variants.dip.vcf.gz	384895	259541	8565	0	1	259541	259541.0	259541	259541	259541	248380281	248380281.0	248380281	248380281	248380281	268106	211191	203306	0.9680536802607924	0.962664128679726	248380281
syndip	chr2	assembly/variants/published_duplex/small_variants.dip.vcf.gz	357150	236784	786	0	1	236784	236784.0	236784	236784	236784	242689898	242689898.0	242689898	242689898	242689898	237570	184394	183759	0.9966915014522035	0.9965562870809246	242689898
syndip	chr3	assembly/variants/published_duplex/small_variants.dip.vcf.gz	328913	224925	202	0	1	224925	224925.0	224925	224925	224925	201085707	201085707.0	201085707	201085707	201085707	225127	179945	179788	0.9991027286820328	0.9991275111839729	201085707
syndip	chr4	assembly/variants/published_duplex/small_variants.dip.vcf.gz	335081	227614	2550	0	1	227614	227614.0	227614	227614	227614	193569703	193569703.0	193569703	193569703	193569703	230164	186166	183759	0.9889209433273666	0.9870706788565045	193569703
syndip	chr5	assembly/variants/published_duplex/small_variants.dip.vcf.gz	297418	204544	0	0	1	204544	204544.0	204544	204544	204544	182041510	182041510.0	182041510	182041510	182041510	204544	162581	162581	1.0	1.0	182041510
syndip	chr6	assembly/variants/published_duplex/small_variants.dip.vcf.gz	319856	216531	804	0	1	216531	216531.0	216531	216531	216531	172109729	172109729.0	172109729	172109729	172109729	217335	176384	175646	0.9963006418662433	0.9958159470246735	172109729
syndip	chr7	assembly/variants/published_duplex/small_variants.dip.vcf.gz	281826	198527	312	0	1	198527	198527.0	198527	198527	198527	160561912	160561912.0	160561912	160561912	160561912	198839	157674	157468	0.9984308913241366	0.998693506855918	160561912
syndip	chrX	assembly/variants/published_duplex/small_variants.dip.vcf.gz	134835	134623	1	0	1	134623	134623.0	134623	134623	134623	154148330	154148330.0	154148330	154148330	154148330	134624	99037	99037	0.9999925719039696	1.0	154148330
syndip	chr9	assembly/variants/published_duplex/small_variants.dip.vcf.gz	242861	175287	4999	0	1	175287	175287.0	175287	175287	175287	150609619	150609619.0	150609619	150609619	150609619	180286	135986	132788	0.9722718347514505	0.9764828732369508	150609619
syndip	chr8	assembly/variants/published_duplex/small_variants.dip.vcf.gz	261325	178444	0	0	1	178444	178444.0	178444	178444	178444	146239276	146239276.0	146239276	146239276	146239276	178444	144336	144336	1.0	1.0	146239276
syndip	chr11	assembly/variants/published_duplex/small_variants.dip.vcf.gz	284178	194740	262	0	1	194740	194740.0	194740	194740	194740	135086156	135086156.0	135086156	135086156	135086156	195002	163539	163283	0.9986564240366765	0.998434624156929	135086156
syndip	chr10	assembly/variants/published_duplex/small_variants.dip.vcf.gz	235055	160725	1	0	1	160725	160725.0	160725	160725	160725	134752320	134752320.0	134752320	134752320	134752320	160726	126655	126654	0.9999937782312756	0.9999921045359441	134752320
syndip	chr12	assembly/variants/published_duplex/small_variants.dip.vcf.gz	223002	155539	0	0	1	155539	155539.0	155539	155539	155539	133321411	133321411.0	133321411	133321411	133321411	155539	121188	121188	1.0	1.0	133321411
syndip	chr13	assembly/variants/published_duplex/small_variants.dip.vcf.gz	178498	122859	0	0	1	122859	122859.0	122859	122859	122859	104304986	104304986.0	104304986	104304986	104304986	122859	98001	98001	1.0	1.0	104304986
syndip	chr14	assembly/variants/published_duplex/small_variants.dip.vcf.gz	223635	165989	4586	0	1	165989	165989.0	165989	165989	165989	101154798	101154798.0	101154798	101154798	101154798	170575	143119	139005	0.9731144657775173	0.9712546901529496	101154798
syndip	chr15	assembly/variants/published_duplex/small_variants.dip.vcf.gz	205016	147361	15749	0	1	147361	147361.0	147361	147361	147361	99599970	99599970.0	99599970	99599970	99599970	163110	135218	121046	0.9034455275580896	0.8951914685914597	99599970
