sample	contig	chromosome	contig_length	gap_length	ref_length	motif_length	n_gaps	total_gap_length_bed	mean_gap_size	max_gap_size	min_gap_size	gap_density	classification
T2T04_trio	pat-0000717	chr1	251527637	1500	248387328	251527637	1	1500	1500.0	1500	1500	0.0	scaffold
T2T04_trio	pat-0000722	chr11	134323308	0	135127769	134323308	0	0	0.0	0	0	0.0	contig
T2T04_trio	pat-0000718	chr12	134074806	0	133324548	134074806	0	0	0.0	0	0	0.0	contig
T2T04_trio	pat-0000698	chr17	83410485	9000	84276897	83410485	2	9000	4500.0	7500	1500	0.02	scaffold
T2T04_trio	pat-0000703	chr18	80262522	0	80542538	80262522	0	0	0.0	0	0	0.0	contig
T2T04_trio	pat-0000720	chr19	61584063	0	61707364	61584063	0	0	0.0	0	0	0.0	contig
T2T04_trio	pat-0000697	chr2	242226216	0	242696752	242226216	0	0	0.0	0	0	0.0	contig
T2T04_trio	pat-0000723	chr20	66063139	1500	66210255	66063139	1	1500	1500.0	1500	1500	0.02	scaffold
T2T04_trio	pat-0000708	chr3	200224653	0	201105948	200224653	0	0	0.0	0	0	0.0	contig
T2T04_trio	pat-0000721	chr4	190738091	100000	193574945	190738091	1	100000	100000.0	100000	100000	0.01	scaffold
T2T04_trio	pat-0000715	chr5	182270636	100000	182045439	182270636	1	100000	100000.0	100000	100000	0.01	scaffold
T2T04_trio	pat-0000707	chr6	172672182	0	172126628	172672182	0	0	0.0	0	0	0.0	contig
T2T04_trio	pat-0000725	chr8	145428947	62530	146259331	145428947	1	62530	62530.0	62530	62530	0.01	scaffold
T2T04_trio	pat-0000706	chr9	134874427	0	150617247	134874427	0	0	0.0	0	0	0.0	contig
T2T04_trio	pat-0000713	chrY	51607060	7500	62460029	51607060	1	7500	7500.0	7500	7500	0.02	scaffold
