contig_name	contig_length_bp	haplotype	primary_chrom	aligned_bp	satellite_bp	satellite_fraction	classification
unassigned-0000840	36723	unassigned	chr7	36794	0	0	non_satellite
unassigned-0000882	100460	unassigned	chr13	32341	32341	1	satellite
unassigned-0000842	116675	unassigned	chr13	1045132	144724	0.138474	non_satellite
unassigned-0000844	127527	unassigned	chr9	128568	0	0	non_satellite
unassigned-0000845	33185	unassigned	chr9	33048	0	0	non_satellite
unassigned-0000530	44549	unassigned	chr14	44525	0	0	non_satellite
unassigned-0000886	10574	unassigned	chr10	10544	0	0	non_satellite
unassigned-0000846	119629	unassigned	chr1	119632	0	0	non_satellite
unassigned-0000888	138639	unassigned	chr13	282998	141499	0.5	satellite
unassigned-0000847	41143	unassigned	chr1	41025	41025	1	satellite
unassigned-0000533	37202	unassigned	chr20	185640	37128	0.2	non_satellite
unassigned-0000889	18654	unassigned	chr1	67224	22408	0.333333	non_satellite
unassigned-0000848	39643	unassigned	chr16	39483	0	0	non_satellite
unassigned-0000260	24627	unassigned	chr1	24868	0	0	non_satellite
unassigned-0000849	26850	unassigned	chr13	26926	26926	1	satellite
unassigned-0000261	19285	unassigned	chr2	19249	0	0	non_satellite
unassigned-0000220	19329	unassigned	chr17	19351	0	0	non_satellite
unassigned-0000536	177898	unassigned	chr21	53196	53196	1	satellite
unassigned-0000262	153129	unassigned	chr2	918858	153143	0.166667	non_satellite
unassigned-0000221	27316	unassigned	chr17	27342	0	0	non_satellite
unassigned-0000263	110028	unassigned	chr2	551870	110374	0.2	non_satellite
unassigned-0000223	83189	unassigned	chr20	83054	83054	1	satellite
unassigned-0000539	191700	unassigned	chr21	52096	52096	1	satellite
unassigned-0000265	33013	unassigned	chr13	32588	32588	1	satellite
unassigned-0000268	76790	unassigned	chr21	52849	52849	1	satellite
unassigned-0000229	84118	unassigned	chr13	89103	89103	1	satellite
haplotype1-0000071	245775	haplotype1	chr18	285515	285515	1	satellite
haplotype1-0000072	517977	haplotype1	chr16	6577978	597998	0.0909091	non_satellite
haplotype1-0000031	190128	haplotype1	chr1	187924	0	0	non_satellite
haplotype1-0000073	196032	haplotype1	chr9	188839	0	0	non_satellite
haplotype1-0000032	84220	haplotype1	chr15	106534	0	0	non_satellite
haplotype1-0000074	244931	haplotype1	chr16	2281849	276179	0.121033	non_satellite
haplotype1-0000033	72896	haplotype1	chr1	72855	0	0	non_satellite
haplotype1-0000034	95081	haplotype1	chr7	95122	0	0	non_satellite
haplotype1-0000075	764361	haplotype1	chr16	9284902	793432	0.085454	non_satellite
haplotype1-0000076	1087942	haplotype1	chr3	1056934	0	0	non_satellite
haplotype1-0000035	172361	haplotype1	chr11	228630	0	0	non_satellite
haplotype1-0000077	94561	haplotype1	chr3	94569	0	0	non_satellite
haplotype1-0000038	111372	haplotype1	chr22	90371	90371	1	satellite
haplotype1-0000039	138655	haplotype1	chr17	163411	0	0	non_satellite
unassigned-0000960	99580	unassigned	chr10	99425	0	0	non_satellite
unassigned-0000961	33714	unassigned	chr16	33687	0	0	non_satellite
unassigned-0000920	104309	unassigned	chr2	104306	0	0	non_satellite
unassigned-0000962	21317	unassigned	chr16	21291	0	0	non_satellite
unassigned-0000921	20238	unassigned	chr1	20246	0	0	non_satellite
unassigned-0000922	16133	unassigned	chr4	16113	0	0	non_satellite
unassigned-0000923	49324	unassigned	chr9	49324	0	0	non_satellite
unassigned-0000964	41117	unassigned	chr7	41056	0	0	non_satellite
unassigned-0000690	146988	unassigned	chr20	146988	0	0	non_satellite
unassigned-0000924	17510	unassigned	chr1	17486	0	0	non_satellite
unassigned-0000966	10859	unassigned	chr13	10832	10832	1	satellite
unassigned-0000926	81985	unassigned	chr18	278526	92842	0.333333	non_satellite
unassigned-0000652	44191	unassigned	chr17	44151	0	0	non_satellite
unassigned-0000968	138430	unassigned	chr13	595620	119124	0.2	non_satellite
unassigned-0000653	35292	unassigned	chr17	35212	0	0	non_satellite
unassigned-0000654	171817	unassigned	chr9	515718	171906	0.333333	non_satellite
unassigned-0000695	61665	unassigned	chr22	61246	61246	1	satellite
unassigned-0000928	45436	unassigned	chr19	45538	0	0	non_satellite
unassigned-0000929	122812	unassigned	chr16	122846	122846	1	satellite
unassigned-0000381	51023	unassigned	chr1	51015	51015	1	satellite
