sample	category	subcategory	sv_type	count	total_length	mean_length
T2T00_1	total	all_svs	all	59200	61772155	1043.4485641891893
T2T00_1	sv_type	BND	BND	14	0	0.0
T2T00_1	sv_type	DEL	DEL	30079	29347220	975.6713986502211
T2T00_1	sv_type	DUP:TANDEM	DUP:TANDEM	27	26473	980.4814814814815
T2T00_1	sv_type	INS	INS	29050	32398462	1115.265473321859
T2T00_1	sv_type	INV	INV	30	0	0.0
T2T00_1	zygosity	ALT_HOM	all	11174	0	0
T2T00_1	zygosity	HET	all	48026	0	0
T2T00_1	zygosity	HET	BND	14	0	0
T2T00_1	zygosity	ALT_HOM	DEL	5942	0	0
T2T00_1	zygosity	HET	DEL	24137	0	0
T2T00_1	zygosity	ALT_HOM	DUP:TANDEM	1	0	0
T2T00_1	zygosity	HET	DUP:TANDEM	26	0	0
T2T00_1	zygosity	ALT_HOM	INS	5223	0	0
T2T00_1	zygosity	HET	INS	23827	0	0
T2T00_1	zygosity	ALT_HOM	INV	8	0	0
T2T00_1	zygosity	HET	INV	22	0	0
T2T00_1	size_class	large (500bp-5kb)	all	14886	0	0
T2T00_1	size_class	massive (>50kb)	all	185	0	0
T2T00_1	size_class	medium (50-500bp)	all	29484	0	0
T2T00_1	size_class	small (<50bp)	all	13035	0	0
T2T00_1	size_class	very_large (5kb-50kb)	all	1610	0	0
T2T00_1	size_class	small (<50bp)	BND	14	0	0
T2T00_1	size_class	large (500bp-5kb)	DEL	8080	0	0
T2T00_1	size_class	massive (>50kb)	DEL	72	0	0
T2T00_1	size_class	medium (50-500bp)	DEL	14522	0	0
T2T00_1	size_class	small (<50bp)	DEL	6592	0	0
T2T00_1	size_class	very_large (5kb-50kb)	DEL	813	0	0
T2T00_1	size_class	large (500bp-5kb)	DUP:TANDEM	21	0	0
T2T00_1	size_class	medium (50-500bp)	DUP:TANDEM	6	0	0
T2T00_1	size_class	large (500bp-5kb)	INS	6785	0	0
T2T00_1	size_class	massive (>50kb)	INS	113	0	0
T2T00_1	size_class	medium (50-500bp)	INS	14956	0	0
T2T00_1	size_class	small (<50bp)	INS	6399	0	0
T2T00_1	size_class	very_large (5kb-50kb)	INS	797	0	0
T2T00_1	size_class	small (<50bp)	INV	30	0	0
T2T00_1	haplotype	both	all	11174	0	0
T2T00_1	haplotype	haplotype1	all	22942	0	0
T2T00_1	haplotype	haplotype2	all	25084	0	0
T2T00_1	haplotype	haplotype1	BND	4	0	0
T2T00_1	haplotype	haplotype2	BND	10	0	0
T2T00_1	haplotype	both	DEL	5942	0	0
T2T00_1	haplotype	haplotype1	DEL	11761	0	0
T2T00_1	haplotype	haplotype2	DEL	12376	0	0
T2T00_1	haplotype	both	DUP:TANDEM	1	0	0
T2T00_1	haplotype	haplotype1	DUP:TANDEM	10	0	0
T2T00_1	haplotype	haplotype2	DUP:TANDEM	16	0	0
T2T00_1	haplotype	both	INS	5223	0	0
T2T00_1	haplotype	haplotype1	INS	11158	0	0
T2T00_1	haplotype	haplotype2	INS	12669	0	0
T2T00_1	haplotype	both	INV	8	0	0
T2T00_1	haplotype	haplotype1	INV	9	0	0
T2T00_1	haplotype	haplotype2	INV	13	0	0
T2T00_1	phasing	phased	all	59200	0	0
T2T00_1	chromosome	chr1	all	5627	0	0
T2T00_1	chromosome	chr2	all	3192	0	0
T2T00_1	chromosome	chr3	all	2795	0	0
T2T00_1	chromosome	chr4	all	2335	0	0
T2T00_1	chromosome	chr5	all	2730	0	0
T2T00_1	chromosome	chr6	all	2288	0	0
T2T00_1	chromosome	chr7	all	2478	0	0
T2T00_1	chromosome	chr8	all	2488	0	0
T2T00_1	chromosome	chr9	all	4902	0	0
T2T00_1	chromosome	chrX	all	942	0	0
T2T00_1	chromosome	chrY	all	742	0	0
T2T00_1	chromosome	chr10	all	2673	0	0
T2T00_1	chromosome	chr11	all	2251	0	0
T2T00_1	chromosome	chr12	all	1923	0	0
T2T00_1	chromosome	chr13	all	2006	0	0
T2T00_1	chromosome	chr14	all	1996	0	0
T2T00_1	chromosome	chr15	all	2629	0	0
T2T00_1	chromosome	chr16	all	3343	0	0
T2T00_1	chromosome	chr17	all	2475	0	0
T2T00_1	chromosome	chr18	all	1844	0	0
T2T00_1	chromosome	chr19	all	1768	0	0
T2T00_1	chromosome	chr20	all	1793	0	0
T2T00_1	chromosome	chr21	all	1776	0	0
T2T00_1	chromosome	chr22	all	2204	0	0
T2T00_1	chromosome	chr1	DEL	2953	0	0
T2T00_1	chromosome	chr2	DEL	1623	0	0
T2T00_1	chromosome	chr3	DEL	1386	0	0
T2T00_1	chromosome	chr4	DEL	1092	0	0
T2T00_1	chromosome	chr5	DEL	1333	0	0
T2T00_1	chromosome	chr6	DEL	1066	0	0
T2T00_1	chromosome	chr7	DEL	1210	0	0
T2T00_1	chromosome	chr8	DEL	1231	0	0
T2T00_1	chromosome	chr9	DEL	2530	0	0
T2T00_1	chromosome	chrX	DEL	460	0	0
T2T00_1	chromosome	chrY	DEL	366	0	0
T2T00_1	chromosome	chr10	DEL	1284	0	0
T2T00_1	chromosome	chr11	DEL	992	0	0
T2T00_1	chromosome	chr12	DEL	949	0	0
T2T00_1	chromosome	chr13	DEL	1012	0	0
T2T00_1	chromosome	chr14	DEL	1029	0	0
T2T00_1	chromosome	chr15	DEL	1360	0	0
T2T00_1	chromosome	chr16	DEL	1788	0	0
T2T00_1	chromosome	chr17	DEL	1574	0	0
T2T00_1	chromosome	chr18	DEL	971	0	0
T2T00_1	chromosome	chr19	DEL	917	0	0
T2T00_1	chromosome	chr20	DEL	982	0	0
T2T00_1	chromosome	chr21	DEL	825	0	0
T2T00_1	chromosome	chr22	DEL	1146	0	0
T2T00_1	chromosome	chr1	INS	2667	0	0
T2T00_1	chromosome	chr2	INS	1565	0	0
T2T00_1	chromosome	chr3	INS	1407	0	0
T2T00_1	chromosome	chr4	INS	1240	0	0
T2T00_1	chromosome	chr5	INS	1392	0	0
T2T00_1	chromosome	chr6	INS	1218	0	0
T2T00_1	chromosome	chr7	INS	1267	0	0
T2T00_1	chromosome	chr8	INS	1253	0	0
T2T00_1	chromosome	chr9	INS	2363	0	0
T2T00_1	chromosome	chrX	INS	481	0	0
T2T00_1	chromosome	chrY	INS	375	0	0
T2T00_1	chromosome	chr10	INS	1386	0	0
T2T00_1	chromosome	chr11	INS	1255	0	0
T2T00_1	chromosome	chr12	INS	973	0	0
T2T00_1	chromosome	chr13	INS	991	0	0
T2T00_1	chromosome	chr14	INS	964	0	0
T2T00_1	chromosome	chr15	INS	1269	0	0
T2T00_1	chromosome	chr16	INS	1553	0	0
T2T00_1	chromosome	chr17	INS	897	0	0
T2T00_1	chromosome	chr18	INS	872	0	0
T2T00_1	chromosome	chr19	INS	849	0	0
T2T00_1	chromosome	chr20	INS	806	0	0
T2T00_1	chromosome	chr21	INS	950	0	0
T2T00_1	chromosome	chr22	INS	1057	0	0
