sample	contig	chromosome	contig_length	gap_length	ref_length	motif_length	n_gaps	total_gap_length_bed	mean_gap_size	max_gap_size	min_gap_size	gap_density	classification
HG01252	HG01252#2#CM088859.1	chr10	135676466	0	134758134	135676466	0	0	0.0	0	0	0.0	contig
HG01252	HG01252#2#CM088860.1	chr11	134681254	0	135127769	134681254	0	0	0.0	0	0	0.0	contig
HG01252	HG01252#2#CM088861.1	chr16	88613707	0	96330374	88613707	0	0	0.0	0	0	0.0	contig
HG01252	HG01252#2#CM088862.1	chr17	82618286	200	84276897	82618286	2	200	100.0	100	100	0.02	scaffold
HG01252	HG01252#2#CM088863.1	chr19	61018220	0	61707364	61018220	0	0	0.0	0	0	0.0	contig
HG01252	HG01252#2#CM088852.1	chr2	241774336	15236	242696752	241774336	1	15236	15236.0	15236	15236	0.0	scaffold
HG01252	HG01252#2#CM088864.1	chr20	65375053	0	66210255	65375053	0	0	0.0	0	0	0.0	contig
HG01252	HG01252#2#CM088853.1	chr3	202866695	100	201105948	202866695	1	100	100.0	100	100	0.0	scaffold
HG01252	HG01252#2#CM088854.1	chr5	184796619	0	182045439	184796619	0	0	0.0	0	0	0.0	contig
HG01252	HG01252#2#CM088855.1	chr6	171819024	23060	172126628	171819024	1	23060	23060.0	23060	23060	0.01	scaffold
HG01252	HG01252#2#CM088856.1	chr7	160627180	0	160567428	160627180	0	0	0.0	0	0	0.0	contig
HG01252	HG01252#2#CM088857.1	chr8	145523336	0	146259331	145523336	0	0	0.0	0	0	0.0	contig
HG01252	HG01252#2#CM088858.1	chr9	137779829	0	150617247	137779829	0	0	0.0	0	0	0.0	contig
