contig	color	chromosome
haplotype1-0000001	#0072B2	chr5
haplotype1-0000002	#E6C47F	chr22
haplotype1-0000003	#E6C47F	chr22
haplotype1-0000004	#E6AB23	chr8
haplotype1-0000005	#CCA0BF	chr18
haplotype1-0000006	#00A880	chr10
haplotype1-0000007	#CC8DB3	chr11
haplotype1-0000008	#1A7FBA	chr12
haplotype1-0000009	#E69F00	chr1
haplotype1-0000010	#808080	chr21
haplotype1-0000011	#5699E9	chr9
haplotype1-0000012	#D57533	chr13
haplotype1-0000013	#D55E00	chr6
haplotype1-0000014	#56B4E9	chr2
haplotype1-0000015	#737373	chr14
haplotype1-0000016	#737373	chr14
haplotype1-0000017	#009E73	chr3
haplotype1-0000018	#D58C66	chr20
haplotype1-0000019	#00B28C	chr17
haplotype1-0000020	#666666	chr7
haplotype1-0000021	#338CC2	chr19
haplotype1-0000022	#666666	chr7
haplotype1-0000023	#E6B847	chr15
haplotype1-0000024	#CC79A7	chr4
haplotype1-0000025	#D57533	chr13
haplotype1-0000026	#567DE9	chr16
haplotype1-0000027	#737373	chr14
haplotype1-0000028	#9467BD	chrX
haplotype1-0000029	#808080	chr21
haplotype1-0000030	#737373	chr14
haplotype1-0000031	#E6B847	chr15
haplotype1-0000032	#808080	chr21
haplotype1-0000033	#CCA0BF	chr18
haplotype1-0000034	#009E73	chr3
haplotype1-0000035	#E69F00	chr1
haplotype1-0000036	#E69F00	chr1
haplotype1-0000037	#E69F00	chr1
haplotype1-0000038	#D55E00	chr6
haplotype1-0000039	#E69F00	chr1
haplotype1-0000040	#E69F00	chr1
haplotype1-0000041	#E69F00	chr1
haplotype1-0000042	#9467BD	chrX
haplotype1-0000043	#E6B847	chr15
haplotype1-0000044	#E69F00	chr1
haplotype1-0000045	#E69F00	chr1
haplotype1-0000046	#E69F00	chr1
haplotype1-0000047	#0072B2	chr5
haplotype1-0000048	#0072B2	chr5
haplotype1-0000049	#0072B2	chr5
haplotype1-0000050	#0072B2	chr5
haplotype1-0000051	#E69F00	chr1
haplotype1-0000052	#E69F00	chr1
haplotype1-0000053	#0072B2	chr5
haplotype1-0000054	#0072B2	chr5
haplotype1-0000055	#0072B2	chr5
haplotype1-0000056	#0072B2	chr5
haplotype1-0000057	#0072B2	chr5
haplotype1-0000058	#0072B2	chr5
haplotype1-0000059	#E69F00	chr1
haplotype1-0000060	#808080	chr21
haplotype1-0000061	#E69F00	chr1
haplotype1-0000062	#567DE9	chr16
haplotype1-0000063	#E6AB23	chr8
haplotype1-0000064	#E69F00	chr1
haplotype1-0000065	#CC79A7	chr4
haplotype1-0000066	#CC8DB3	chr11
haplotype1-0000067	#567DE9	chr16
haplotype1-0000068	#D55E00	chr6
haplotype1-0000069	#1A7FBA	chr12
haplotype1-0000070	#CC79A7	chr4
haplotype1-0000071	#0072B2	chr5
haplotype1-0000072	#E69F00	chr1
haplotype1-0000073	#567DE9	chr16
haplotype1-0000074	#56B4E9	chr2
haplotype1-0000075	#56B4E9	chr2
haplotype1-0000076	#666666	chr7
haplotype1-0000077	#808080	chr21
haplotype1-0000078	#808080	chr21
haplotype1-0000079	#E6AB23	chr8
haplotype1-0000080	#E69F00	chr1
haplotype1-0000081	#D55E00	chr6
haplotype1-0000082	#D55E00	chr6
haplotype1-0000083	#D55E00	chr6
haplotype1-0000084	#808080	chr21
haplotype1-0000085	#808080	chr21
haplotype1-0000086	#D55E00	chr6
haplotype1-0000087	#E69F00	chr1
haplotype1-0000088	#E6B847	chr15
haplotype1-0000089	#E6AB23	chr8
haplotype1-0000090	#00B28C	chr17
haplotype1-0000091	#009E73	chr3
haplotype1-0000092	#E69F00	chr1
haplotype1-0000093	#E6AB23	chr8
haplotype1-0000094	#CC8DB3	chr11
haplotype1-0000095	#CC8DB3	chr11
haplotype1-0000096	#CC8DB3	chr11
haplotype1-0000097	#E6B847	chr15
haplotype1-0000098	#E6B847	chr15
haplotype1-0000099	#E6B847	chr15
haplotype1-0000100	#E6B847	chr15
haplotype1-0000101	#E69F00	chr1
haplotype1-0000102	#E69F00	chr1
haplotype1-0000103	#CCA0BF	chr18
haplotype1-0000104	#CCA0BF	chr18
haplotype1-0000105	#CC8DB3	chr11
haplotype1-0000106	#0072B2	chr5
haplotype1-0000107	#666666	chr7
haplotype1-0000108	#666666	chr7
haplotype1-0000109	#9467BD	chrX
haplotype1-0000110	#CC79A7	chr4
haplotype1-0000111	#CCA0BF	chr18
haplotype1-0000112	#00A880	chr10
haplotype1-0000113	#CCA0BF	chr18
haplotype1-0000114	#CCA0BF	chr18
haplotype1-0000115	#567DE9	chr16
haplotype1-0000116	#D55E00	chr6
haplotype1-0000117	#D55E00	chr6
haplotype1-0000118	#0072B2	chr5
haplotype1-0000119	#0072B2	chr5
haplotype1-0000120	#0072B2	chr5
haplotype1-0000121	#0072B2	chr5
haplotype1-0000122	#666666	chr7
haplotype1-0000123	#00A880	chr10
haplotype1-0000124	#0072B2	chr5
haplotype1-0000125	#D55E00	chr6
haplotype1-0000126	#CC8DB3	chr11
haplotype1-0000127	#E6B847	chr15
haplotype1-0000128	#D55E00	chr6
haplotype1-0000129	#E69F00	chr1
haplotype1-0000130	#E69F00	chr1
haplotype1-0000131	#009E73	chr3
haplotype1-0000132	#0072B2	chr5
haplotype1-0000133	#0072B2	chr5
haplotype1-0000134	#0072B2	chr5
haplotype1-0000135	#0072B2	chr5
haplotype1-0000136	#E69F00	chr1
haplotype1-0000137	#808080	chr21
haplotype1-0000138	#CCA0BF	chr18
haplotype1-0000139	#E6B847	chr15
haplotype1-0000140	#E6B847	chr15
haplotype1-0000141	#666666	chr7
haplotype1-0000142	#666666	chr7
haplotype1-0000143	#E69F00	chr1
haplotype1-0000144	#CC8DB3	chr11
haplotype1-0000145	#E6B847	chr15
haplotype1-0000146	#808080	chr21
haplotype1-0000147	#E6B847	chr15
haplotype1-0000148	#E6B847	chr15
haplotype1-0000149	#E6B847	chr15
haplotype1-0000150	#E6B847	chr15
haplotype1-0000151	#E6B847	chr15
haplotype1-0000152	#567DE9	chr16
haplotype1-0000153	#D58C66	chr20
haplotype1-0000154	#E6C47F	chr22
haplotype1-0000155	#E6C47F	chr22
haplotype1-0000156	#CC8DB3	chr11
haplotype1-0000157	#CC8DB3	chr11
haplotype1-0000158	#CC8DB3	chr11
haplotype2-0000159	#0072B2	chr5
haplotype2-0000160	#E6C47F	chr22
haplotype2-0000161	#808080	chr21
haplotype2-0000162	#CCA0BF	chr18
haplotype2-0000163	#808080	chr21
haplotype2-0000164	#CC8DB3	chr11
haplotype2-0000165	#1A7FBA	chr12
haplotype2-0000166	#E6AB23	chr8
haplotype2-0000167	#808080	chr21
haplotype2-0000168	#009E73	chr3
haplotype2-0000169	#CC79A7	chr4
haplotype2-0000170	#D57533	chr13
haplotype2-0000171	#D55E00	chr6
haplotype2-0000172	#56B4E9	chr2
haplotype2-0000173	#567DE9	chr16
haplotype2-0000174	#D58C66	chr20
haplotype2-0000175	#00B28C	chr17
haplotype2-0000176	#00A880	chr10
haplotype2-0000177	#666666	chr7
haplotype2-0000178	#666666	chr7
haplotype2-0000179	#338CC2	chr19
haplotype2-0000180	#E6B847	chr15
haplotype2-0000181	#E6B847	chr15
haplotype2-0000182	#CC79A7	chr4
haplotype2-0000183	#E6C47F	chr22
haplotype2-0000184	#737373	chr14
haplotype2-0000185	#E69F00	chr1
haplotype2-0000186	#E6B847	chr15
haplotype2-0000187	#E6C47F	chr22
haplotype2-0000188	#E6C47F	chr22
haplotype2-0000189	#CCA0BF	chr18
haplotype2-0000190	#567DE9	chr16
haplotype2-0000191	#666666	chr7
haplotype2-0000192	#737373	chr14
haplotype2-0000193	#5699E9	chr9
haplotype2-0000194	#9467BD	chrX
haplotype2-0000195	#D55E00	chr6
haplotype2-0000196	#9467BD	chrX
haplotype2-0000197	#E6C47F	chr22
haplotype2-0000198	#E6B847	chr15
haplotype2-0000199	#737373	chr14
haplotype2-0000200	#E69F00	chr1
haplotype2-0000201	#9467BD	chrX
haplotype2-0000202	#D55E00	chr6
haplotype2-0000203	#D55E00	chr6
haplotype2-0000204	#E6B847	chr15
haplotype2-0000205	#567DE9	chr16
haplotype2-0000206	#00B28C	chr17
haplotype2-0000207	#338CC2	chr19
haplotype2-0000208	#E6B847	chr15
haplotype2-0000209	#E69F00	chr1
haplotype2-0000210	#9467BD	chrX
haplotype2-0000211	#D58C66	chr20
haplotype2-0000212	#D55E00	chr6
haplotype2-0000213	#9467BD	chrX
haplotype2-0000214	#9467BD	chrX
haplotype2-0000215	#D55E00	chr6
haplotype2-0000216	#9467BD	chrX
haplotype2-0000217	#D58C66	chr20
haplotype2-0000218	#666666	chr7
haplotype2-0000219	#D55E00	chr6
haplotype2-0000220	#D55E00	chr6
haplotype2-0000221	#9467BD	chrX
haplotype2-0000222	#D55E00	chr6
haplotype2-0000223	#D55E00	chr6
haplotype2-0000224	#D55E00	chr6
haplotype2-0000225	#808080	chr21
haplotype2-0000226	#567DE9	chr16
haplotype2-0000227	#D58C66	chr20
haplotype2-0000228	#D58C66	chr20
haplotype2-0000229	#D58C66	chr20
haplotype2-0000230	#D55E00	chr6
haplotype2-0000231	#666666	chr7
haplotype2-0000232	#D55E00	chr6
haplotype2-0000233	#56B4E9	chr2
haplotype2-0000234	#567DE9	chr16
haplotype2-0000235	#CCA0BF	chr18
haplotype2-0000236	#009E73	chr3
haplotype2-0000237	#D55E00	chr6
haplotype2-0000238	#338CC2	chr19
haplotype2-0000239	#CC8DB3	chr11
haplotype2-0000240	#808080	chr21
haplotype2-0000241	#567DE9	chr16
haplotype2-0000242	#1A7FBA	chr12
haplotype2-0000243	#D55E00	chr6
haplotype2-0000244	#56B4E9	chr2
haplotype2-0000245	#0072B2	chr5
haplotype2-0000246	#00B28C	chr17
haplotype2-0000247	#00B28C	chr17
haplotype2-0000248	#D55E00	chr6
haplotype2-0000249	#00A880	chr10
haplotype2-0000250	#E69F00	chr1
haplotype2-0000251	#E6B847	chr15
haplotype2-0000252	#009E73	chr3
haplotype2-0000253	#CC79A7	chr4
haplotype2-0000254	#CC8DB3	chr11
haplotype2-0000255	#CC8DB3	chr11
haplotype2-0000256	#567DE9	chr16
haplotype2-0000257	#666666	chr7
haplotype2-0000258	#D55E00	chr6
haplotype2-0000259	#D55E00	chr6
haplotype2-0000260	#D55E00	chr6
haplotype2-0000261	#00B28C	chr17
haplotype2-0000262	#D55E00	chr6
haplotype2-0000263	#D55E00	chr6
haplotype2-0000264	#D55E00	chr6
haplotype2-0000265	#D55E00	chr6
haplotype2-0000266	#D55E00	chr6
haplotype2-0000267	#CC8DB3	chr11
haplotype2-0000268	#56B4E9	chr2
haplotype2-0000269	#D55E00	chr6
haplotype2-0000270	#567DE9	chr16
haplotype2-0000271	#CC79A7	chr4
haplotype2-0000272	#D55E00	chr6
haplotype2-0000273	#D55E00	chr6
haplotype2-0000274	#E6AB23	chr8
haplotype2-0000275	#CC8DB3	chr11
haplotype2-0000276	#D55E00	chr6
haplotype2-0000277	#D55E00	chr6
haplotype2-0000278	#E6C47F	chr22
haplotype2-0000279	#E6B847	chr15
haplotype2-0000280	#D57533	chr13
haplotype2-0000281	#E6AB23	chr8
haplotype2-0000282	#E6B847	chr15
haplotype2-0000283	#CCA0BF	chr18
haplotype2-0000284	#D58C66	chr20
haplotype2-0000285	#D58C66	chr20
haplotype2-0000286	#D58C66	chr20
haplotype2-0000287	#D58C66	chr20
haplotype2-0000288	#1A7FBA	chr12
haplotype2-0000289	#1A7FBA	chr12
haplotype2-0000290	#1A7FBA	chr12
haplotype2-0000291	#0072B2	chr5
haplotype2-0000292	#567DE9	chr16
haplotype2-0000293	#567DE9	chr16
haplotype2-0000294	#567DE9	chr16
haplotype2-0000295	#9467BD	chrX
haplotype2-0000296	#009E73	chr3
haplotype2-0000297	#1A7FBA	chr12
haplotype2-0000298	#9467BD	chrX
haplotype2-0000299	#1A7FBA	chr12
haplotype2-0000300	#1A7FBA	chr12
haplotype2-0000301	#CCA0BF	chr18
haplotype2-0000302	#567DE9	chr16
haplotype2-0000303	#567DE9	chr16
haplotype2-0000304	#567DE9	chr16
haplotype2-0000305	#0072B2	chr5
haplotype2-0000306	#0072B2	chr5
haplotype2-0000307	#567DE9	chr16
haplotype2-0000308	#D55E00	chr6
haplotype2-0000309	#0072B2	chr5
haplotype2-0000310	#0072B2	chr5
haplotype2-0000311	#0072B2	chr5
haplotype2-0000312	#0072B2	chr5
haplotype2-0000313	#00B28C	chr17
haplotype2-0000314	#00B28C	chr17
haplotype2-0000315	#567DE9	chr16
haplotype2-0000316	#567DE9	chr16
haplotype2-0000317	#009E73	chr3
haplotype2-0000318	#E6B847	chr15
haplotype2-0000319	#9467BD	chrX
haplotype2-0000320	#E69F00	chr1
haplotype2-0000321	#E69F00	chr1
haplotype2-0000322	#E69F00	chr1
haplotype2-0000323	#E69F00	chr1
haplotype2-0000324	#CC8DB3	chr11
haplotype2-0000325	#D58C66	chr20
haplotype2-0000326	#D58C66	chr20
haplotype2-0000327	#D58C66	chr20
haplotype2-0000328	#D58C66	chr20
haplotype2-0000329	#5699E9	chr9
haplotype2-0000330	#5699E9	chr9
haplotype2-0000331	#D58C66	chr20
haplotype2-0000332	#338CC2	chr19
haplotype2-0000333	#CC79A7	chr4
haplotype2-0000334	#D57533	chr13
haplotype2-0000335	#737373	chr14
haplotype2-0000336	#D55E00	chr6
haplotype2-0000337	#D55E00	chr6
haplotype2-0000338	#D57533	chr13
haplotype2-0000339	#D55E00	chr6
haplotype2-0000340	#00B28C	chr17
haplotype2-0000341	#00B28C	chr17
haplotype2-0000342	#E6B847	chr15
haplotype2-0000343	#E6B847	chr15
haplotype2-0000344	#CC8DB3	chr11
haplotype2-0000345	#E6B847	chr15
haplotype2-0000346	#D55E00	chr6
haplotype2-0000347	#E6C47F	chr22
haplotype2-0000348	#737373	chr14
haplotype2-0000349	#56B4E9	chr2
haplotype2-0000350	#E6C47F	chr22
haplotype2-0000351	#1A7FBA	chr12
haplotype2-0000352	#CCA0BF	chr18
haplotype2-0000353	#CCA0BF	chr18
haplotype2-0000354	#CC8DB3	chr11
haplotype2-0000355	#00B28C	chr17
haplotype2-0000356	#808080	chr21
haplotype2-0000357	#338CC2	chr19
haplotype2-0000358	#CC8DB3	chr11
haplotype2-0000359	#CC8DB3	chr11
haplotype2-0000360	#009E73	chr3
haplotype2-0000361	#0072B2	chr5
haplotype2-0000362	#0072B2	chr5
haplotype2-0000363	#0072B2	chr5
haplotype2-0000364	#0072B2	chr5
haplotype2-0000365	#0072B2	chr5
haplotype2-0000366	#0072B2	chr5
haplotype2-0000367	#0072B2	chr5
haplotype2-0000368	#0072B2	chr5
haplotype2-0000369	#0072B2	chr5
haplotype2-0000370	#CC79A7	chr4
haplotype2-0000371	#9467BD	chrX
haplotype2-0000372	#D55E00	chr6
haplotype2-0000373	#CC79A7	chr4
haplotype2-0000374	#CC79A7	chr4
haplotype2-0000375	#CC79A7	chr4
haplotype2-0000376	#E6AB23	chr8
haplotype2-0000377	#1A7FBA	chr12
haplotype2-0000378	#1A7FBA	chr12
haplotype2-0000379	#D55E00	chr6
haplotype2-0000380	#00B28C	chr17
haplotype2-0000381	#808080	chr21
haplotype2-0000382	#808080	chr21
haplotype2-0000383	#E6AB23	chr8
haplotype2-0000384	#666666	chr7
haplotype2-0000385	#666666	chr7
haplotype2-0000386	#00B28C	chr17
haplotype2-0000387	#D57533	chr13
haplotype2-0000388	#00B28C	chr17
haplotype2-0000389	#9467BD	chrX
haplotype2-0000390	#CC8DB3	chr11
haplotype2-0000391	#CC79A7	chr4
haplotype2-0000392	#009E73	chr3
haplotype2-0000393	#D58C66	chr20
unassigned-0000395	#CCA0BF	chr18
unassigned-0000396	#CC8DB3	chr11
unassigned-0000397	#666666	chr7
unassigned-0000399	#808080	chr21
unassigned-0000401	#808080	chr21
unassigned-0000404	#D57533	chr13
unassigned-0000405	#D57533	chr13
unassigned-0000406	#E69F00	chr1
unassigned-0000408	#338CC2	chr19
unassigned-0000409	#0072B2	chr5
unassigned-0000410	#808080	chr21
unassigned-0000411	#9467BD	chrX
unassigned-0000412	#E6C47F	chr22
unassigned-0000414	#CCA0BF	chr18
unassigned-0000415	#CCA0BF	chr18
unassigned-0000416	#737373	chr14
unassigned-0000417	#D55E00	chr6
unassigned-0000418	#D55E00	chr6
unassigned-0000419	#D55E00	chr6
unassigned-0000420	#D55E00	chr6
unassigned-0000422	#808080	chr21
unassigned-0000423	#808080	chr21
unassigned-0000424	#737373	chr14
unassigned-0000426	#D55E00	chr6
unassigned-0000427	#CCA0BF	chr18
unassigned-0000428	#808080	chr21
unassigned-0000429	#808080	chr21
unassigned-0000430	#808080	chr21
unassigned-0000431	#808080	chr21
unassigned-0000432	#D57533	chr13
unassigned-0000433	#D57533	chr13
unassigned-0000435	#808080	chr21
unassigned-0000436	#CC8DB3	chr11
unassigned-0000437	#D57533	chr13
