File name::assembly/qc/phased_verkko/TUE_02_06UL/T2T_contigs.unphased.paf, l.n::361
haplotype1-0000001	136367341	5437	136362987	+	chr9	150617247	3677	150500186
haplotype1-0000002	79369271	5470	79364171	+	chr18	80542538	164380	80539355
haplotype1-0000003	172883129	104936	172876006	+	chr6	172126628	2882	172123886
haplotype1-0000004	133726350	5862	133719933	-	chr12	133324548	4043	133322282
haplotype1-0000006	65605589	6067	65600772	-	chr20	66210255	2724	66205814
haplotype1-0000007	83788073	5656	83784467	+	chr17	84276897	2214	84274189
haplotype1-0000009	52310781	4792	52306952	-	chrY	62460029	5649	62453933
haplotype1-0000010	145735718	147373	145730407	+	chr8	146259331	2068	146253993
haplotype1-0000011	200624746	6284	200617392	-	chr3	201105948	3126	201101343
haplotype1-0000012	159954913	4332	159947809	+	chr7	160567428	3374	160564029
haplotype1-0000013	136481673	35478	136473177	-	chr10	134758134	3895	134656311
haplotype1-0000014	247301776	19191	247293617	+	chr1	248387328	6457	248384213
haplotype1-0000016	101179895	7640	101172213	-	chr15	99753195	6432	99748914
haplotype1-0000017	62445749	4842	62438638	+	chr19	61707364	2061	61703631
haplotype1-0000019	92813440	4488	92806345	-	chr16	96330374	3917	96327761
haplotype1-0000020	136557240	5194	136544706	-	chr11	135127769	2922	135125193
haplotype1-0000021	242684085	5596	242676326	+	chr2	242696752	3355	242693051
haplotype1-0000023	191772985	6503	191736566	+	chr4	193574945	3254	193499924
haplotype1-0000024	183810107	7377	183733753	+	chr5	182045439	3403	181966214
haplotype2-0000026	79952689	5905	79947076	+	chr18	80542538	164922	80538991
haplotype2-0000027	172014289	105289	172005447	+	chr6	172126628	2882	172122275
haplotype2-0000028	133647739	6986	133641929	-	chr12	133324548	3407	133322219
haplotype2-0000029	139006652	121094	139001183	-	chr9	150617247	3570	150576373
haplotype2-0000030	94602897	9126	94497751	-	chr15	99753195	4689067	99748717
haplotype2-0000031	154417586	4312	154408016	+	chrX	154259566	1815	154255197
haplotype2-0000033	64996374	5930	64989322	-	chr20	66210255	2711	66205788
haplotype2-0000035	84049268	4842	84041433	+	chr17	84276897	2214	84272750
haplotype2-0000036	49618449	5391	49611832	-	chr22	51324926	4940	51322011
haplotype2-0000037	145924266	147342	145918576	+	chr8	146259331	2068	146253993
haplotype2-0000038	200613967	495	200606819	-	chr3	201105948	3117	201096321
haplotype2-0000039	136463013	6002	136456432	-	chr10	134758134	3895	134755004
haplotype2-0000040	244907091	8608	244901992	+	chr1	248387328	3255	248384138
haplotype2-0000041	102185159	5259	101481631	-	chr14	101161492	841094	101159958
haplotype2-0000042	92122251	6132	91912257	-	chr16	96330374	25639	96327790
haplotype2-0000043	159253155	5212	159246292	-	chr7	160567428	3826	160565222
haplotype2-0000044	137899990	6142	137893930	-	chr11	135127769	1840	135125239
haplotype2-0000045	242536222	6331	242527906	+	chr2	242696752	3355	242693058
haplotype2-0000047	61710110	6219	61704325	-	chr19	61707364	3375	61703590
haplotype2-0000048	192036462	8624	191999825	+	chr4	193574945	3263	193490696
haplotype2-0000049	182048490	6594	182044430	+	chr5	182045439	2287	182044180
