sample	haplotype	contig	length
HG002	haplotype1	chr1_PATERNAL	252060741
HG002	haplotype1	chr2_PATERNAL	241873532
HG002	haplotype1	chr3_PATERNAL	201513538
HG002	haplotype1	chr4_PATERNAL	192384017
HG002	haplotype1	chr5_PATERNAL	188875552
HG002	haplotype1	chr6_PATERNAL	174411882
HG002	haplotype1	chr7_PATERNAL	160104414
HG002	haplotype1	chr8_PATERNAL	146786823
HG002	haplotype1	chr10_PATERNAL	135711605
HG002	haplotype1	chr11_PATERNAL	133990155
HG002	haplotype1	chr12_PATERNAL	133573713
HG002	haplotype1	chr9_PATERNAL	131519435
HG002	haplotype1	chr13_PATERNAL	109226264
HG002	haplotype1	chr14_PATERNAL	105804016
HG002	haplotype1	chr15_PATERNAL	96256967
HG002	haplotype1	chr16_PATERNAL	93613879
HG002	haplotype1	chr17_PATERNAL	84843407
HG002	haplotype1	chr18_PATERNAL	80778407
HG002	haplotype1	chr20_PATERNAL	67035379
HG002	haplotype1	chrY_PATERNAL	62432599
HG002	haplotype1	chr19_PATERNAL	61355724
HG002	haplotype1	chr22_PATERNAL	49430517
HG002	haplotype1	chr21_PATERNAL	44312598
HG002	haplotype2	chr1_MATERNAL	244022067
HG002	haplotype2	chr2_MATERNAL	242114397
HG002	haplotype2	chr3_MATERNAL	201097962
HG002	haplotype2	chr4_MATERNAL	191669995
HG002	haplotype2	chr5_MATERNAL	183262120
HG002	haplotype2	chr6_MATERNAL	174742601
HG002	haplotype2	chr7_MATERNAL	160955030
HG002	haplotype2	chrX_MATERNAL	154341397
HG002	haplotype2	chr8_MATERNAL	146740677
HG002	haplotype2	chr9_MATERNAL	143803229
HG002	haplotype2	chr10_MATERNAL	135899001
HG002	haplotype2	chr11_MATERNAL	135235771
HG002	haplotype2	chr12_MATERNAL	133580557
HG002	haplotype2	chr13_MATERNAL	113336972
HG002	haplotype2	chr14_MATERNAL	108656801
HG002	haplotype2	chr15_MATERNAL	100881320
HG002	haplotype2	chr16_MATERNAL	90398409
HG002	haplotype2	chr17_MATERNAL	83770182
HG002	haplotype2	chr18_MATERNAL	78908764
HG002	haplotype2	chr20_MATERNAL	66071306
HG002	haplotype2	chr19_MATERNAL	61317335
HG002	haplotype2	chr22_MATERNAL	53395367
HG002	haplotype2	chr21_MATERNAL	47311724
HG002	haplotype2	chrM	16570
HG00272	haplotype1	HG00272#1#CM094185.1	253026774
HG00272	haplotype1	HG00272#1#JBIRDN010000038.1	242516296
HG00272	haplotype1	HG00272#1#CM094186.1	204944629
HG00272	haplotype1	HG00272#1#CM094187.1	193594135
