#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3211	248384169	244832
syndip	chr2	0	3343	242694019	239690
syndip	chr3	0	2357	201088840	232805
syndip	chr4	0	3392	193514108	231707
syndip	chr5	0	2125	182043943	186459
syndip	chr6	0	3417	172124000	211461
syndip	chr7	0	3936	160564597	200851
syndip	chrX	0	59119	154256936	132981
syndip	chr9	0	3623	150615508	171007
syndip	chr8	0	1949	146252617	168312
syndip	chr11	0	2700	135125266	187108
syndip	chr10	0	2904	134689862	149138
syndip	chr12	0	3059	133322148	145563
syndip	chr13	0	36402	113562313	112723
syndip	chr14	0	45106	101160003	161611
syndip	chr15	0	6091	99750253	177161
syndip	chr16	0	2565	96327565	123955
syndip	chr17	0	2260	84273669	116639
syndip	chr18	0	164124	80538932	96299
syndip	chr20	0	2508	66206344	95205
syndip	chr19	0	2685	61704689	97209
syndip	chr22	0	4599	51322042	112242
syndip	chr21	0	2738	45086155	63380
