contig	color
contig-0000001	#9467BD	chrX
contig-0000002	#9467BD	chrX
contig-0000003	#D55E00	chr6
contig-0000004	#9467BD	chrX
contig-0000005	#9467BD	chrX
contig-0000006	#9467BD	chrX
contig-0000007	#9467BD	chrX
contig-0000008	#9467BD	chrX
contig-0000009	#9467BD	chrX
contig-0000010	#00B28C	chr17
contig-0000011	#9467BD	chrX
contig-0000012	#9467BD	chrX
contig-0000013	#9467BD	chrX
contig-0000014	#808080	chr21
contig-0000015	#E6B847	chr15
contig-0000016	#009E73	chr3
contig-0000017	#D57533	chr13
contig-0000018	#D57533	chr13
contig-0000019	#D57533	chr13
contig-0000020	#00B28C	chr17
contig-0000021	#338CC2	chr19
contig-0000022	#E6C47F	chr22
contig-0000023	#E6C47F	chr22
contig-0000024	#009E73	chr3
contig-0000025	#00B28C	chr17
contig-0000026	#808080	chr21
contig-0000027	#D57533	chr13
contig-0000028	#D57533	chr13
contig-0000029	#0072B2	chr5
contig-0000030	#0072B2	chr5
contig-0000031	#0072B2	chr5
contig-0000032	#0072B2	chr5
contig-0000034	#00B28C	chr17
contig-0000035	#D57533	chr13
contig-0000036	#D57533	chr13
contig-0000038	#D55E00	chr6
contig-0000040	#CCA0BF	chr18
contig-0000041	#00B28C	chr17
contig-0000042	#D57533	chr13
contig-0000043	#D57533	chr13
contig-0000045	#E6C47F	chr22
contig-0000046	#808080	chr21
contig-0000047	#D57533	chr13
contig-0000048	#CC79A7	chr4
contig-0000049	#D57533	chr13
contig-0000050	#E6C47F	chr22
contig-0000051	#D57533	chr13
contig-0000052	#D57533	chr13
contig-0000054	#E6C47F	chr22
contig-0000055	#E6B847	chr15
contig-0000056	#E6B847	chr15
contig-0000057	#CC79A7	chr4
contig-0000058	#00B28C	chr17
contig-0000059	#00B28C	chr17
contig-0000060	#00B28C	chr17
contig-0000061	#00B28C	chr17
contig-0000062	#00B28C	chr17
contig-0000063	#808080	chr21
contig-0000064	#808080	chr21
contig-0000065	#808080	chr21
contig-0000066	#CC79A7	chr4
contig-0000067	#E6C47F	chr22
contig-0000068	#D57533	chr13
contig-0000069	#9467BD	chrX
contig-0000070	#D57533	chr13
contig-0000071	#D57533	chr13
contig-0000072	#D57533	chr13
contig-0000073	#CC79A7	chr4
contig-0000074	#D57533	chr13
contig-0000075	#D57533	chr13
contig-0000076	#D57533	chr13
contig-0000077	#808080	chr21
contig-0000078	#808080	chr21
contig-0000080	#E6C47F	chr22
contig-0000081	#E6C47F	chr22
contig-0000082	#E69F00	chr1
contig-0000083	#CC79A7	chr4
contig-0000084	#E6C47F	chr22
contig-0000085	#E6C47F	chr22
contig-0000086	#E6C47F	chr22
contig-0000087	#E69F00	chr1
contig-0000088	#E69F00	chr1
contig-0000089	#808080	chr21
contig-0000090	#808080	chr21
contig-0000091	#E69F00	chr1
contig-0000093	#E69F00	chr1
contig-0000094	#D57533	chr13
contig-0000095	#737373	chr14
contig-0000096	#737373	chr14
contig-0000097	#737373	chr14
contig-0000100	#E6AB23	chr8
contig-0000101	#17BECF	chrM
