sample	category	subcategory	var_type	count	percentage
HG005	total	all_variants	all	5341838	100.0
HG005	variant_type	DEL	DEL	520794	9.749340957176162
HG005	variant_type	INS	INS	514461	9.630786257464191
HG005	variant_type	MNV	MNV	1910	0.035755483412263714
HG005	variant_type	SNV	SNV	4304673	80.58411730194737
HG005	ti_tv	transitions	SNV	2720265	1.7168967841616554
HG005	ti_tv	transversions	SNV	1584408	1.7168967841616554
HG005	zygosity	HET	all	3580665	67.03058011119019
HG005	zygosity	HOM_ALT	all	1761173	32.96941988880981
HG005	zygosity	HET	DEL	371046	71.24621251396906
HG005	zygosity	HOM_ALT	DEL	149748	28.753787486030944
HG005	zygosity	HET	INS	368563	71.6406102697775
HG005	zygosity	HOM_ALT	INS	145898	28.359389730222507
HG005	zygosity	HET	MNV	1910	100.0
HG005	zygosity	HET	SNV	2839146	65.95497497719339
HG005	zygosity	HOM_ALT	SNV	1465527	34.04502502280661
HG005	haplotype	both	all	1761173	32.96941988880981
HG005	haplotype	haplotype1	all	1774328	33.21568344079323
HG005	haplotype	haplotype2	all	1806337	33.81489667039696
HG005	haplotype	both	DEL	149748	28.753787486030944
HG005	haplotype	haplotype1	DEL	181446	34.840263136672085
HG005	haplotype	haplotype2	DEL	189600	36.40594937729698
HG005	haplotype	both	INS	145898	28.359389730222507
HG005	haplotype	haplotype1	INS	180831	35.149603176917196
HG005	haplotype	haplotype2	INS	187732	36.49100709286029
HG005	haplotype	haplotype1	MNV	951	49.79057591623037
HG005	haplotype	haplotype2	MNV	959	50.20942408376964
HG005	haplotype	both	SNV	1465527	34.04502502280661
HG005	haplotype	haplotype1	SNV	1411100	32.78065488365783
HG005	haplotype	haplotype2	SNV	1428046	33.174320093535556
HG005	phasing	phased	all	5341838	100.0
HG005	phasing	phased	DEL	520794	100.0
HG005	phasing	phased	INS	514461	100.0
HG005	phasing	phased	MNV	1910	100.0
HG005	phasing	phased	SNV	4304673	100.0
HG005	allelic	biallelic	all	5048853	94.5152773258942
HG005	allelic	multiallelic	all	292985	5.484722674105804
HG005	allelic	biallelic	DEL	421355	80.90627004151354
HG005	allelic	multiallelic	DEL	99439	19.093729958486467
HG005	allelic	biallelic	INS	417251	81.10449577324617
