#sample	chromosome	dataset_name0	dataset_name1	file_name0	file_name1	intersection_blocks	covered_variants	all_assessed_pairs	all_switches	all_switch_rate	all_switchflips	all_switchflip_rate	blockwise_hamming	blockwise_hamming_rate	blockwise_diff_genotypes	blockwise_diff_genotypes_rate	largestblock_assessed_pairs	largestblock_switches	largestblock_switch_rate	largestblock_switchflips	largestblock_switchflip_rate	largestblock_hamming	largestblock_hamming_rate	largestblock_diff_genotypes	largestblock_diff_genotypes_rate	het_variants0	only_snvs
SAMPLE	chr1	giab	assembly	assembly/qc/phased_verkko/T2T12/giab.filtered.vcf.gz	assembly/qc/phased_verkko/T2T12/assembly.filtered.vcf.gz	1	32156	32155	1575	0.04898149587933447	933/321	0.03899860052868916	14363	0.4466662520213957	0	0.0	32155	1575	0.04898149587933447	933/321	0.03899860052868916	14363	0.4466662520213957	0	0.0	122660	0
SAMPLE	chr10	giab	assembly	assembly/qc/phased_verkko/T2T12/giab.filtered.vcf.gz	assembly/qc/phased_verkko/T2T12/assembly.filtered.vcf.gz	1	22207	22206	1105	0.049761325767810505	639/233	0.03926866612627218	11085	0.49916692934660245	0	0.0	22206	1105	0.049761325767810505	639/233	0.03926866612627218	11085	0.49916692934660245	0	0.0	74265	0
SAMPLE	chr11	giab	assembly	assembly/qc/phased_verkko/T2T12/giab.filtered.vcf.gz	assembly/qc/phased_verkko/T2T12/assembly.filtered.vcf.gz	1	18921	18920	902	0.047674418604651166	554/174	0.038477801268498944	9072	0.4794672586015538	0	0.0	18920	902	0.047674418604651166	554/174	0.038477801268498944	9072	0.4794672586015538	0	0.0	67285	0
SAMPLE	chr12	giab	assembly	assembly/qc/phased_verkko/T2T12/giab.filtered.vcf.gz	assembly/qc/phased_verkko/T2T12/assembly.filtered.vcf.gz	1	17504	17503	1028	0.05873278866480032	584/222	0.04604924870022282	8702	0.4971435100548446	0	0.0	17503	1028	0.05873278866480032	584/222	0.04604924870022282	8702	0.4971435100548446	0	0.0	66711	0
SAMPLE	chr13	giab	assembly	assembly/qc/phased_verkko/T2T12/giab.filtered.vcf.gz	assembly/qc/phased_verkko/T2T12/assembly.filtered.vcf.gz	1	16879	16878	801	0.047458229648062566	469/166	0.03762294110676621	8171	0.48409265951774394	0	0.0	16878	801	0.047458229648062566	469/166	0.03762294110676621	8171	0.48409265951774394	0	0.0	59205	0
SAMPLE	chr14	giab	assembly	assembly/qc/phased_verkko/T2T12/giab.filtered.vcf.gz	assembly/qc/phased_verkko/T2T12/assembly.filtered.vcf.gz	1	12010	12009	676	0.05629111499708552	390/143	0.04438337913231743	5349	0.4453788509575354	0	0.0	12009	676	0.05629111499708552	390/143	0.04438337913231743	5349	0.4453788509575354	0	0.0	78462	0
SAMPLE	chr15	giab	assembly	assembly/qc/phased_verkko/T2T12/giab.filtered.vcf.gz	assembly/qc/phased_verkko/T2T12/assembly.filtered.vcf.gz	1	12594	12593	831	0.06598904153100929	487/172	0.05233065989041531	6255	0.4966650786088614	0	0.0	12593	831	0.06598904153100929	487/172	0.05233065989041531	6255	0.4966650786088614	0	0.0	73691	0
SAMPLE	chr16	giab	assembly	assembly/qc/phased_verkko/T2T12/giab.filtered.vcf.gz	assembly/qc/phased_verkko/T2T12/assembly.filtered.vcf.gz	1	12114	12113	902	0.07446545034260711	496/203	0.05770659621893833	6044	0.49892686148258214	0	0.0	12113	902	0.07446545034260711	496/203	0.05770659621893833	6044	0.49892686148258214	0	0.0	49357	0
SAMPLE	chr17	giab	assembly	assembly/qc/phased_verkko/T2T12/giab.filtered.vcf.gz	assembly/qc/phased_verkko/T2T12/assembly.filtered.vcf.gz	1	10668	10667	717	0.06721664947970377	405/156	0.05259210649667198	5059	0.4742219722534683	0	0.0	10667	717	0.06721664947970377	405/156	0.05259210649667198	5059	0.4742219722534683	0	0.0	45047	0
SAMPLE	chr18	giab	assembly	assembly/qc/phased_verkko/T2T12/giab.filtered.vcf.gz	assembly/qc/phased_verkko/T2T12/assembly.filtered.vcf.gz	1	11878	11877	629	0.0529595015576324	375/127	0.04226656563105161	5918	0.49823202559353424	0	0.0	11877	629	0.0529595015576324	375/127	0.04226656563105161	5918	0.49823202559353424	0	0.0	42806	0
