#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3211	248384169	255002
syndip	chr2	0	3155	242693993	239633
syndip	chr3	0	35945	201088840	227408
syndip	chr4	0	3105	193494116	222671
syndip	chr5	0	2216	182043943	183723
syndip	chr6	0	5354	172119794	209150
syndip	chr7	0	3799	160565296	189271
syndip	chrX	0	76791	154257339	130925
syndip	chr9	0	4806	150547375	138630
syndip	chr8	0	2292	146256954	164321
syndip	chr11	0	1837	135125382	192972
syndip	chr10	0	3727	134726308	154983
syndip	chr12	0	2913	133322148	152053
syndip	chr13	0	3259	113563453	118175
syndip	chr14	0	634463	101161340	150764
syndip	chr15	0	128767	99750562	147027
syndip	chr16	0	3460	96327648	123273
syndip	chr17	0	3241	84237411	106296
syndip	chr18	0	164177	80538092	99998
syndip	chr20	0	2599	66206208	99098
syndip	chr19	0	2197	61704397	101133
syndip	chr22	0	2218665	51319640	122194
syndip	chr21	0	2888	45086155	83001
