#sample	chromosome	file_name	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	phased_fraction	phased_snvs_fraction	block_n50
syndip	chr1	assembly/variants/TUE_02_01UL/phased_verkko/small_variants.dip.vcf.gz	375069	250097	9780	0	1	250097	250097.0	250097	250097	250097	248151812	248151812.0	248151812	248151812	248151812	259877	217804	208634	0.9623668119918269	0.9578979265761878	248151812
syndip	chr2	assembly/variants/TUE_02_01UL/phased_verkko/small_variants.dip.vcf.gz	359207	240138	586	0	1	240138	240138.0	240138	240138	240138	242630647	242630647.0	242630647	242630647	242630647	240724	200099	199573	0.9975656768747612	0.9973713012059031	242630647
syndip	chr3	assembly/variants/TUE_02_01UL/phased_verkko/small_variants.dip.vcf.gz	304870	204142	648	0	1	204142	204142.0	204142	204142	204142	201098384	201098384.0	201098384	201098384	201098384	204790	172671	172052	0.9968357829972166	0.996415147882389	201098384
syndip	chr4	assembly/variants/TUE_02_01UL/phased_verkko/small_variants.dip.vcf.gz	321961	190105	57124	0	1	190105	190105.0	190105	190105	190105	193481241	193481241.0	193481241	193481241	193481241	247229	207959	159668	0.7689429638108798	0.7677859578089912	193481241
syndip	chr5	assembly/variants/TUE_02_01UL/phased_verkko/small_variants.dip.vcf.gz	273936	186055	304	0	1	186055	186055.0	186055	186055	186055	182042449	182042449.0	182042449	182042449	182042449	186359	156946	156722	0.9983687399052367	0.9985727575089521	182042449
syndip	chr6	assembly/variants/TUE_02_01UL/phased_verkko/small_variants.dip.vcf.gz	286566	184946	5905	0	1	184946	184946.0	184946	184946	184946	172115959	172115959.0	172115959	172115959	172115959	190851	160586	155050	0.9690596329073465	0.9655262600724845	172115959
syndip	chr7	assembly/variants/TUE_02_01UL/phased_verkko/small_variants.dip.vcf.gz	279569	186560	509	0	1	186560	186560.0	186560	186560	186560	160510547	160510547.0	160510547	160510547	160510547	187069	156900	156428	0.9972790788425661	0.9969917144678139	160510547
syndip	chrX	assembly/variants/TUE_02_01UL/phased_verkko/small_variants.dip.vcf.gz	121229	121228	1	0	1	121228	121228.0	121228	121228	121228	154245756	154245756.0	154245756	154245756	154245756	121229	92799	92798	0.9999917511486526	0.9999892240218106	154245756
syndip	chr9	assembly/variants/TUE_02_01UL/phased_verkko/small_variants.dip.vcf.gz	231378	156134	3373	0	1	156134	156134.0	156134	156134	156134	150610674	150610674.0	150610674	150610674	150610674	159507	128899	125943	0.9788535926322983	0.9770673162708787	150610674
syndip	chr8	assembly/variants/TUE_02_01UL/phased_verkko/small_variants.dip.vcf.gz	241574	154658	352	0	1	154658	154658.0	154658	154658	154658	146251770	146251770.0	146251770	146251770	146251770	155010	131368	131052	0.9977291787626604	0.9975945435722551	146251770
syndip	chr11	assembly/variants/TUE_02_01UL/phased_verkko/small_variants.dip.vcf.gz	269430	190398	2484	0	1	190398	190398.0	190398	190398	190398	135125329	135125329.0	135125329	135125329	135125329	192882	169134	167065	0.9871216598749495	0.987767095912117	135125329
syndip	chr10	assembly/variants/TUE_02_01UL/phased_verkko/small_variants.dip.vcf.gz	219231	147511	698	0	1	147511	147511.0	147511	147511	147511	134751285	134751285.0	134751285	134751285	134751285	148209	123068	122445	0.995290434454048	0.9949377579874541	134751285
syndip	chr12	assembly/variants/TUE_02_01UL/phased_verkko/small_variants.dip.vcf.gz	207469	138485	81	0	1	138485	138485.0	138485	138485	138485	133317475	133317475.0	133317475	133317475	133317475	138566	114625	114550	0.999415441017277	0.9993456924754635	133317475
syndip	chr13	assembly/variants/TUE_02_01UL/phased_verkko/small_variants.dip.vcf.gz	170979	109687	5531	0	1	109687	109687.0	109687	109687	109687	112572748	112572748.0	112572748	112572748	112572748	115218	96435	91400	0.9519953479491051	0.9477886659407891	112572748
syndip	chr14	assembly/variants/TUE_02_01UL/phased_verkko/small_variants.dip.vcf.gz	200631	126690	20951	0	1	126690	126690.0	126690	126690	126690	100666950	100666950.0	100666950	100666950	100666950	147641	128803	109309	0.8580949736184393	0.8486525934954932	100666950
syndip	chr15	assembly/variants/TUE_02_01UL/phased_verkko/small_variants.dip.vcf.gz	186096	124918	14430	0	1	124918	124918.0	124918	124918	124918	99693907	99693907.0	99693907	99693907	99693907	139348	119354	106450	0.8964463070872922	0.8918846456758885	99693907
syndip	chr16	assembly/variants/TUE_02_01UL/phased_verkko/small_variants.dip.vcf.gz	171162	126503	883	0	1	126503	126503.0	126503	126503	126503	96324206	96324206.0	96324206	96324206	96324206	127386	109920	109208	0.9930683120594099	0.9935225618631732	96324206
syndip	chr17	assembly/variants/TUE_02_01UL/phased_verkko/small_variants.dip.vcf.gz	148168	94919	2399	0	1	94919	94919.0	94919	94919	94919	84237127	84237127.0	84237127	84237127	84237127	97318	80289	78351	0.9753488563266816	0.97586219781041	84237127
syndip	chr18	assembly/variants/TUE_02_01UL/phased_verkko/small_variants.dip.vcf.gz	134298	92582	550	0	1	92582	92582.0	92582	92582	92582	80374678	80374678.0	80374678	80374678	80374678	93132	79602	79073	0.9940944036421423	0.9933544383306953	80374678
syndip	chr20	assembly/variants/TUE_02_01UL/phased_verkko/small_variants.dip.vcf.gz	126312	85620	5076	0	1	85620	85620.0	85620	85620	85620	66201613	66201613.0	66201613	66201613	66201613	90696	78211	73344	0.9440328129134692	0.9377709017913082	66201613
