#sample	chromosome	dataset_name0	dataset_name1	file_name0	file_name1	intersection_blocks	covered_variants	all_assessed_pairs	all_switches	all_switch_rate	all_switchflips	all_switchflip_rate	blockwise_hamming	blockwise_hamming_rate	blockwise_diff_genotypes	blockwise_diff_genotypes_rate	largestblock_assessed_pairs	largestblock_switches	largestblock_switch_rate	largestblock_switchflips	largestblock_switchflip_rate	largestblock_hamming	largestblock_hamming_rate	largestblock_diff_genotypes	largestblock_diff_genotypes_rate	het_variants0	only_snvs
SAMPLE	chr1	giab	assembly	assembly/qc/phased_verkko/T2T00_1/giab.filtered.vcf.gz	assembly/qc/phased_verkko/T2T00_1/assembly.filtered.vcf.gz	1	29710	29709	1589	0.053485475781749635	941/324	0.042579689656333096	13982	0.47061595422416697	0	0.0	29709	1589	0.053485475781749635	941/324	0.042579689656333096	13982	0.47061595422416697	0	0.0	117190	0
SAMPLE	chr10	giab	assembly	assembly/qc/phased_verkko/T2T00_1/giab.filtered.vcf.gz	assembly/qc/phased_verkko/T2T00_1/assembly.filtered.vcf.gz	1	20761	20760	1134	0.0546242774566474	642/246	0.04277456647398844	9415	0.45349453301864073	0	0.0	20760	1134	0.0546242774566474	642/246	0.04277456647398844	9415	0.45349453301864073	0	0.0	75796	0
SAMPLE	chr11	giab	assembly	assembly/qc/phased_verkko/T2T00_1/giab.filtered.vcf.gz	assembly/qc/phased_verkko/T2T00_1/assembly.filtered.vcf.gz	1	18714	18713	1069	0.05712606209586918	641/214	0.04569016191952119	9137	0.4882440953296997	0	0.0	18713	1069	0.05712606209586918	641/214	0.04569016191952119	9137	0.4882440953296997	0	0.0	69338	0
SAMPLE	chr12	giab	assembly	assembly/qc/phased_verkko/T2T00_1/giab.filtered.vcf.gz	assembly/qc/phased_verkko/T2T00_1/assembly.filtered.vcf.gz	1	16085	16084	1001	0.06223576224819696	591/205	0.04949017657299179	7931	0.49306807584706247	0	0.0	16084	1001	0.06223576224819696	591/205	0.04949017657299179	7931	0.49306807584706247	0	0.0	65928	0
SAMPLE	chr13	giab	assembly	assembly/qc/phased_verkko/T2T00_1/giab.filtered.vcf.gz	assembly/qc/phased_verkko/T2T00_1/assembly.filtered.vcf.gz	1	15886	15885	781	0.04916587976078061	445/168	0.0385898646521876	6638	0.4178521969029334	0	0.0	15885	781	0.04916587976078061	445/168	0.0385898646521876	6638	0.4178521969029334	0	0.0	56575	0
SAMPLE	chr14	giab	assembly	assembly/qc/phased_verkko/T2T00_1/giab.filtered.vcf.gz	assembly/qc/phased_verkko/T2T00_1/assembly.filtered.vcf.gz	1	12988	12987	706	0.05436205436205436	430/138	0.043736043736043735	6140	0.47274407145056974	0	0.0	12987	706	0.05436205436205436	430/138	0.043736043736043735	6140	0.47274407145056974	0	0.0	72161	0
SAMPLE	chr15	giab	assembly	assembly/qc/phased_verkko/T2T00_1/giab.filtered.vcf.gz	assembly/qc/phased_verkko/T2T00_1/assembly.filtered.vcf.gz	1	12526	12525	770	0.06147704590818363	414/178	0.047265469061876245	5558	0.4437170684975251	0	0.0	12525	770	0.06147704590818363	414/178	0.047265469061876245	5558	0.4437170684975251	0	0.0	68276	0
SAMPLE	chr16	giab	assembly	assembly/qc/phased_verkko/T2T00_1/giab.filtered.vcf.gz	assembly/qc/phased_verkko/T2T00_1/assembly.filtered.vcf.gz	1	13337	13336	830	0.0622375524895021	460/185	0.048365326934613075	6572	0.49276448976531456	0	0.0	13336	830	0.0622375524895021	460/185	0.048365326934613075	6572	0.49276448976531456	0	0.0	60436	0
SAMPLE	chr17	giab	assembly	assembly/qc/phased_verkko/T2T00_1/giab.filtered.vcf.gz	assembly/qc/phased_verkko/T2T00_1/assembly.filtered.vcf.gz	1	13617	13616	728	0.05346650998824912	438/145	0.04281727379553466	6067	0.44554600866563854	0	0.0	13616	728	0.05346650998824912	438/145	0.04281727379553466	6067	0.44554600866563854	0	0.0	48915	0
SAMPLE	chr18	giab	assembly	assembly/qc/phased_verkko/T2T00_1/giab.filtered.vcf.gz	assembly/qc/phased_verkko/T2T00_1/assembly.filtered.vcf.gz	1	11741	11740	704	0.059965928449744466	380/162	0.04616695059625213	5540	0.4718507793203305	0	0.0	11740	704	0.059965928449744466	380/162	0.04616695059625213	5540	0.4718507793203305	0	0.0	41290	0
SAMPLE	chr19	giab	assembly	assembly/qc/phased_verkko/T2T00_1/giab.filtered.vcf.gz	assembly/qc/phased_verkko/T2T00_1/assembly.filtered.vcf.gz	1	8637	8636	682	0.07897174617878648	370/156	0.060907827698008336	3935	0.45559800856778976	0	0.0	8636	682	0.07897174617878648	370/156	0.060907827698008336	3935	0.45559800856778976	0	0.0	39332	0
SAMPLE	chr2	giab	assembly	assembly/qc/phased_verkko/T2T00_1/giab.filtered.vcf.gz	assembly/qc/phased_verkko/T2T00_1/assembly.filtered.vcf.gz	1	33256	33255	1799	0.05409712825139077	981/409	0.04179822583070215	15803	0.4751924464758239	0	0.0	33255	1799	0.05409712825139077	981/409	0.04179822583070215	15803	0.4751924464758239	0	0.0	111494	0
SAMPLE	chr20	giab	assembly	assembly/qc/phased_verkko/T2T00_1/giab.filtered.vcf.gz	assembly/qc/phased_verkko/T2T00_1/assembly.filtered.vcf.gz	1	8972	8971	556	0.06197748300078029	318/119	0.04871251811392264	4087	0.4555283102987071	0	0.0	8971	556	0.06197748300078029	318/119	0.04871251811392264	4087	0.4555283102987071	0	0.0	45772	0
SAMPLE	chr21	giab	assembly	assembly/qc/phased_verkko/T2T00_1/giab.filtered.vcf.gz	assembly/qc/phased_verkko/T2T00_1/assembly.filtered.vcf.gz	1	5736	5735	339	0.05911072362685266	195/72	0.046556233653007845	2635	0.45937935843793587	0	0.0	5735	339	0.05911072362685266	195/72	0.046556233653007845	2635	0.45937935843793587	0	0.0	33097	0
SAMPLE	chr22	giab	assembly	assembly/qc/phased_verkko/T2T00_1/giab.filtered.vcf.gz	assembly/qc/phased_verkko/T2T00_1/assembly.filtered.vcf.gz	1	6496	6495	422	0.06497305619707468	222/100	0.049576597382602	3038	0.4676724137931034	0	0.0	6495	422	0.06497305619707468	222/100	0.049576597382602	3038	0.4676724137931034	0	0.0	47620	0
SAMPLE	chr3	giab	assembly	assembly/qc/phased_verkko/T2T00_1/giab.filtered.vcf.gz	assembly/qc/phased_verkko/T2T00_1/assembly.filtered.vcf.gz	1	26950	26949	1417	0.052580800771828265	825/296	0.0415970908011429	13223	0.49064935064935067	0	0.0	26949	1417	0.052580800771828265	825/296	0.0415970908011429	13223	0.49064935064935067	0	0.0	101168	0
SAMPLE	chr4	giab	assembly	assembly/qc/phased_verkko/T2T00_1/giab.filtered.vcf.gz	assembly/qc/phased_verkko/T2T00_1/assembly.filtered.vcf.gz	1	29630	29629	1340	0.04522596105167235	768/286	0.03557325593168855	14361	0.48467769152885587	0	0.0	29629	1340	0.04522596105167235	768/286	0.03557325593168855	14361	0.48467769152885587	0	0.0	117398	0
SAMPLE	chr5	giab	assembly	assembly/qc/phased_verkko/T2T00_1/giab.filtered.vcf.gz	assembly/qc/phased_verkko/T2T00_1/assembly.filtered.vcf.gz	1	26025	26024	1283	0.04930064555794651	747/268	0.03900245926836766	12478	0.47946205571565803	0	0.0	26024	1283	0.04930064555794651	747/268	0.03900245926836766	12478	0.47946205571565803	0	0.0	96547	0
