contig	color	chromosome
haplotype1-0000001	#CC79A7	chr4
haplotype1-0000002	#E6C47F	chr22
haplotype1-0000003	#5699E9	chr9
haplotype1-0000004	#338CC2	chr19
haplotype1-0000005	#CCA0BF	chr18
haplotype1-0000006	#00A880	chr10
haplotype1-0000007	#009E73	chr3
haplotype1-0000008	#666666	chr7
haplotype1-0000009	#E69F00	chr1
haplotype1-0000010	#D58C66	chr20
haplotype1-0000011	#CC8DB3	chr11
haplotype1-0000012	#E6B847	chr15
haplotype1-0000013	#0072B2	chr5
haplotype1-0000014	#00B28C	chr17
haplotype1-0000015	#D57533	chr13
haplotype1-0000016	#1A7FBA	chr12
haplotype1-0000017	#8C564B	chrY
haplotype1-0000018	#56B4E9	chr2
haplotype1-0000019	#808080	chr21
haplotype1-0000020	#E6AB23	chr8
haplotype1-0000021	#567DE9	chr16
haplotype1-0000022	#8C564B	chrY
haplotype1-0000023	#8C564B	chrY
haplotype1-0000024	#D55E00	chr6
haplotype1-0000025	#737373	chr14
haplotype1-0000026	#808080	chr21
haplotype1-0000027	#00A880	chr10
haplotype1-0000028	#00A880	chr10
haplotype1-0000029	#00A880	chr10
haplotype1-0000030	#E69F00	chr1
haplotype1-0000031	#E69F00	chr1
haplotype1-0000032	#E69F00	chr1
haplotype1-0000033	#E69F00	chr1
haplotype1-0000034	#E69F00	chr1
haplotype1-0000035	#E69F00	chr1
haplotype1-0000036	#E69F00	chr1
haplotype1-0000037	#00A880	chr10
haplotype1-0000038	#CCA0BF	chr18
haplotype1-0000039	#0072B2	chr5
haplotype1-0000040	#E69F00	chr1
haplotype1-0000041	#00A880	chr10
haplotype1-0000042	#00A880	chr10
haplotype1-0000043	#00A880	chr10
haplotype1-0000044	#00A880	chr10
haplotype1-0000045	#567DE9	chr16
haplotype1-0000046	#567DE9	chr16
haplotype1-0000047	#567DE9	chr16
haplotype1-0000048	#808080	chr21
haplotype1-0000049	#567DE9	chr16
haplotype1-0000050	#567DE9	chr16
haplotype1-0000051	#567DE9	chr16
haplotype1-0000052	#E69F00	chr1
haplotype1-0000053	#E69F00	chr1
haplotype1-0000054	#567DE9	chr16
haplotype1-0000055	#00A880	chr10
haplotype1-0000056	#00A880	chr10
haplotype1-0000057	#567DE9	chr16
haplotype1-0000058	#567DE9	chr16
haplotype1-0000059	#E69F00	chr1
haplotype1-0000060	#E69F00	chr1
haplotype1-0000061	#E69F00	chr1
haplotype1-0000062	#E69F00	chr1
haplotype1-0000063	#E69F00	chr1
haplotype1-0000064	#E69F00	chr1
haplotype1-0000065	#E69F00	chr1
haplotype1-0000066	#00A880	chr10
haplotype1-0000067	#E69F00	chr1
haplotype1-0000068	#E69F00	chr1
haplotype1-0000069	#E69F00	chr1
haplotype1-0000070	#8C564B	chrY
haplotype1-0000071	#8C564B	chrY
haplotype1-0000072	#8C564B	chrY
haplotype1-0000073	#00B28C	chr17
haplotype1-0000074	#E69F00	chr1
haplotype1-0000075	#E69F00	chr1
haplotype1-0000076	#D57533	chr13
haplotype2-0000077	#338CC2	chr19
haplotype2-0000078	#CC79A7	chr4
haplotype2-0000079	#E69F00	chr1
haplotype2-0000080	#8C564B	chrY
haplotype2-0000081	#5699E9	chr9
haplotype2-0000082	#8C564B	chrY
haplotype2-0000083	#E6C47F	chr22
haplotype2-0000084	#CCA0BF	chr18
haplotype2-0000085	#00A880	chr10
haplotype2-0000086	#009E73	chr3
haplotype2-0000087	#8C564B	chrY
haplotype2-0000088	#666666	chr7
haplotype2-0000089	#D58C66	chr20
haplotype2-0000090	#CC8DB3	chr11
haplotype2-0000091	#E6B847	chr15
haplotype2-0000092	#0072B2	chr5
haplotype2-0000093	#E6C47F	chr22
haplotype2-0000094	#D57533	chr13
haplotype2-0000095	#737373	chr14
haplotype2-0000096	#00B28C	chr17
haplotype2-0000097	#1A7FBA	chr12
haplotype2-0000098	#56B4E9	chr2
haplotype2-0000099	#E6C47F	chr22
haplotype2-0000100	#567DE9	chr16
haplotype2-0000101	#8C564B	chrY
haplotype2-0000102	#9467BD	chrX
haplotype2-0000103	#E6AB23	chr8
haplotype2-0000104	#8C564B	chrY
haplotype2-0000105	#E6C47F	chr22
haplotype2-0000106	#808080	chr21
haplotype2-0000107	#8C564B	chrY
haplotype2-0000108	#8C564B	chrY
haplotype2-0000109	#D55E00	chr6
haplotype2-0000110	#5699E9	chr9
haplotype2-0000111	#8C564B	chrY
haplotype2-0000112	#5699E9	chr9
haplotype2-0000113	#808080	chr21
haplotype2-0000114	#808080	chr21
haplotype2-0000115	#00B28C	chr17
haplotype2-0000116	#338CC2	chr19
haplotype2-0000117	#8C564B	chrY
haplotype2-0000118	#8C564B	chrY
haplotype2-0000119	#8C564B	chrY
haplotype2-0000120	#8C564B	chrY
haplotype2-0000121	#8C564B	chrY
haplotype2-0000122	#D55E00	chr6
haplotype2-0000123	#D55E00	chr6
haplotype2-0000124	#0072B2	chr5
haplotype2-0000125	#8C564B	chrY
haplotype2-0000126	#8C564B	chrY
haplotype2-0000127	#8C564B	chrY
haplotype2-0000128	#338CC2	chr19
haplotype2-0000129	#E6B847	chr15
haplotype2-0000130	#E6B847	chr15
haplotype2-0000131	#8C564B	chrY
haplotype2-0000132	#8C564B	chrY
haplotype2-0000133	#8C564B	chrY
haplotype2-0000134	#338CC2	chr19
haplotype2-0000135	#00B28C	chr17
haplotype2-0000136	#00B28C	chr17
haplotype2-0000137	#00B28C	chr17
haplotype2-0000138	#0072B2	chr5
haplotype2-0000139	#00B28C	chr17
haplotype2-0000140	#8C564B	chrY
haplotype2-0000141	#8C564B	chrY
haplotype2-0000142	#8C564B	chrY
haplotype2-0000143	#8C564B	chrY
haplotype2-0000144	#8C564B	chrY
haplotype2-0000145	#8C564B	chrY
haplotype2-0000146	#8C564B	chrY
haplotype2-0000147	#00B28C	chr17
haplotype2-0000148	#5699E9	chr9
haplotype2-0000149	#8C564B	chrY
haplotype2-0000150	#8C564B	chrY
haplotype2-0000151	#8C564B	chrY
haplotype2-0000152	#8C564B	chrY
haplotype2-0000153	#8C564B	chrY
haplotype2-0000154	#8C564B	chrY
haplotype2-0000155	#8C564B	chrY
haplotype2-0000156	#8C564B	chrY
haplotype2-0000157	#8C564B	chrY
haplotype2-0000158	#8C564B	chrY
haplotype2-0000159	#8C564B	chrY
haplotype2-0000160	#338CC2	chr19
haplotype2-0000161	#E6B847	chr15
haplotype2-0000162	#E6B847	chr15
haplotype2-0000163	#8C564B	chrY
haplotype2-0000164	#808080	chr21
haplotype2-0000165	#808080	chr21
haplotype2-0000166	#808080	chr21
haplotype2-0000167	#808080	chr21
haplotype2-0000168	#808080	chr21
haplotype2-0000169	#8C564B	chrY
haplotype2-0000170	#0072B2	chr5
haplotype2-0000171	#808080	chr21
haplotype2-0000172	#009E73	chr3
haplotype2-0000173	#009E73	chr3
haplotype2-0000174	#8C564B	chrY
haplotype2-0000175	#E6C47F	chr22
haplotype2-0000176	#E6C47F	chr22
haplotype2-0000177	#E6C47F	chr22
haplotype2-0000178	#808080	chr21
haplotype2-0000179	#8C564B	chrY
haplotype2-0000180	#8C564B	chrY
haplotype2-0000181	#8C564B	chrY
haplotype2-0000182	#8C564B	chrY
haplotype2-0000183	#8C564B	chrY
haplotype2-0000184	#338CC2	chr19
haplotype2-0000185	#D55E00	chr6
haplotype2-0000186	#8C564B	chrY
haplotype2-0000187	#E69F00	chr1
haplotype2-0000188	#8C564B	chrY
haplotype2-0000189	#8C564B	chrY
haplotype2-0000190	#E69F00	chr1
unassigned-0000191	#D57533	chr13
unassigned-0000193	#D57533	chr13
unassigned-0000194	#D57533	chr13
unassigned-0000195	#D57533	chr13
unassigned-0000196	#D57533	chr13
unassigned-0000197	#D57533	chr13
unassigned-0000198	#D57533	chr13
unassigned-0000199	#D57533	chr13
unassigned-0000200	#E6B847	chr15
unassigned-0000201	#737373	chr14
unassigned-0000202	#E6C47F	chr22
unassigned-0000203	#D57533	chr13
unassigned-0000204	#E6C47F	chr22
unassigned-0000205	#E6C47F	chr22
unassigned-0000206	#E6C47F	chr22
unassigned-0000207	#E6C47F	chr22
unassigned-0000208	#E6B847	chr15
unassigned-0000209	#808080	chr21
unassigned-0000210	#808080	chr21
unassigned-0000211	#009E73	chr3
unassigned-0000212	#E6B847	chr15
unassigned-0000213	#D57533	chr13
unassigned-0000214	#D57533	chr13
unassigned-0000216	#E6C47F	chr22
unassigned-0000217	#E6C47F	chr22
unassigned-0000218	#E6C47F	chr22
unassigned-0000219	#D57533	chr13
unassigned-0000221	#E6C47F	chr22
unassigned-0000222	#E6B847	chr15
unassigned-0000223	#808080	chr21
unassigned-0000224	#808080	chr21
unassigned-0000225	#808080	chr21
unassigned-0000226	#E6B847	chr15
unassigned-0000227	#D57533	chr13
unassigned-0000230	#737373	chr14
unassigned-0000231	#808080	chr21
unassigned-0000232	#5699E9	chr9
unassigned-0000234	#D57533	chr13
unassigned-0000236	#D57533	chr13
unassigned-0000237	#D57533	chr13
unassigned-0000238	#808080	chr21
unassigned-0000239	#D57533	chr13
unassigned-0000240	#E6C47F	chr22
unassigned-0000242	#E6C47F	chr22
unassigned-0000244	#E6C47F	chr22
unassigned-0000245	#E6C47F	chr22
unassigned-0000246	#E6C47F	chr22
unassigned-0000247	#E6C47F	chr22
unassigned-0000250	#D57533	chr13
unassigned-0000251	#E6B847	chr15
unassigned-0000252	#737373	chr14
unassigned-0000253	#808080	chr21
unassigned-0000254	#E6B847	chr15
unassigned-0000255	#E6B847	chr15
unassigned-0000256	#D57533	chr13
unassigned-0000257	#E6C47F	chr22
unassigned-0000258	#D57533	chr13
unassigned-0000259	#E6C47F	chr22
unassigned-0000260	#E6C47F	chr22
unassigned-0000261	#009E73	chr3
unassigned-0000262	#E6C47F	chr22
unassigned-0000263	#E6C47F	chr22
unassigned-0000264	#D57533	chr13
unassigned-0000265	#E6C47F	chr22
unassigned-0000266	#E6C47F	chr22
unassigned-0000268	#00B28C	chr17
unassigned-0000269	#00B28C	chr17
unassigned-0000270	#00B28C	chr17
unassigned-0000271	#E6B847	chr15
unassigned-0000272	#808080	chr21
unassigned-0000273	#808080	chr21
unassigned-0000274	#E6B847	chr15
unassigned-0000275	#E6C47F	chr22
unassigned-0000276	#CCA0BF	chr18
unassigned-0000278	#E6B847	chr15
unassigned-0000279	#D57533	chr13
unassigned-0000280	#D57533	chr13
unassigned-0000281	#D57533	chr13
unassigned-0000282	#E6C47F	chr22
