#sample	chromosome	file_name	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	phased_fraction	phased_snvs_fraction	block_n50
syndip	chr1	assembly/variants/HG01252/phased_hprc/small_variants.dip.vcf.gz	369915	243213	1953	0	1	243213	243213.0	243213	243213	243213	248381038	248381038.0	248381038	248381038	248381038	245166	203026	201162	0.9920339688211253	0.9908189098933141	248381038
syndip	chr2	assembly/variants/HG01252/phased_hprc/small_variants.dip.vcf.gz	369657	253846	533	0	1	253846	253846.0	253846	253846	253846	242690838	242690838.0	242690838	242690838	242690838	254379	208765	208285	0.997904701252855	0.9977007640169568	242690838
syndip	chr3	assembly/variants/HG01252/phased_hprc/small_variants.dip.vcf.gz	330210	224897	443	0	1	224897	224897.0	224897	224897	224897	201096515	201096515.0	201096515	201096515	201096515	225340	189236	188839	0.9980340818318985	0.9979020905113192	201096515
syndip	chr4	assembly/variants/HG01252/phased_hprc/small_variants.dip.vcf.gz	325552	219919	1063	0	1	219919	219919.0	219919	219919	219919	193569822	193569822.0	193569822	193569822	193569822	220982	185586	184577	0.9951896534559376	0.9945631674803056	193569822
syndip	chr5	assembly/variants/HG01252/phased_hprc/small_variants.dip.vcf.gz	306204	215153	242	0	1	215153	215153.0	215153	215153	215153	182023254	182023254.0	182023254	182023254	182023254	215395	178563	178360	0.9988764827410107	0.9988631463405073	182023254
syndip	chr6	assembly/variants/HG01252/phased_hprc/small_variants.dip.vcf.gz	320419	206627	16	0	1	206627	206627.0	206627	206627	206627	172112278	172112278.0	172112278	172112278	172112278	206643	173226	173210	0.9999225717783811	0.999907635112512	172112278
syndip	chr7	assembly/variants/HG01252/phased_hprc/small_variants.dip.vcf.gz	311650	215314	99	0	1	215314	215314.0	215314	215314	215314	160520899	160520899.0	160520899	160520899	160520899	215413	181047	180951	0.9995404177092376	0.9994697509486486	160520899
syndip	chrX	assembly/variants/HG01252/phased_hprc/small_variants.dip.vcf.gz	130189	130137	52	0	1	130137	130137.0	130137	130137	130137	154160618	154160618.0	154160618	154160618	154160618	130189	106661	106625	0.9996005806942215	0.9996624820693599	154160618
syndip	chr9	assembly/variants/HG01252/phased_hprc/small_variants.dip.vcf.gz	228708	164424	284	0	1	164424	164424.0	164424	164424	164424	150611479	150611479.0	150611479	150611479	150611479	164708	135794	135587	0.998275736454817	0.9984756322076086	150611479
syndip	chr8	assembly/variants/HG01252/phased_hprc/small_variants.dip.vcf.gz	242926	157247	1203	0	1	157247	157247.0	157247	157247	157247	146247360	146247360.0	146247360	146247360	146247360	158450	132815	131711	0.9924076995897759	0.991687685878854	146247360
