File name::assembly/qc/phased_verkko/T2T19/both.mapped_T2T.paf, l.n::7997
haplotype1-0000001	135293587	6387	135285041	+	chr9	150617247	3594	150614400
haplotype1-0000002	67008032	5647	66999436	-	chr20	66210255	2634	66107710
haplotype1-0000003	161646333	10718	161637871	-	chr7	160567428	3303	160565567
haplotype1-0000004	60179005	373128	60170087	+	chrY	62460029	370191	62452881
haplotype1-0000005	193246514	37846	193239427	-	chr4	193574945	2822	193533800
haplotype1-0000006	146293246	6456	146017730	-	chr8	146259331	131173	146254006
haplotype1-0000007	134119059	195083	134113181	+	chr12	133324548	194128	133321561
haplotype1-0000008	92366156	6892	92294864	+	chr16	96330374	3490	96256985
haplotype1-0000009	183194122	35489	183188224	-	chr5	182045439	2264	182007970
haplotype1-0000011	135844857	7388	135837788	+	chr10	134758134	2638	134755095
haplotype1-0000012	174207470	19012	174103193	-	chr6	172126628	2875	172119828
haplotype1-0000013	81613796	106725	81607310	+	chr18	80542538	263528	80539006
haplotype1-0000015	243313638	8733	243306040	+	chr2	242696752	3349	242694224
haplotype1-0000016	201158829	11524	201140902	+	chr3	201105948	2575	201088876
haplotype1-0000017	246298668	7612	246291912	+	chr1	248387328	2717	248384215
haplotype1-0000018	84581787	5663	84531291	-	chr17	84276897	46796	84274048
haplotype1-0000019	135484535	9359	135195694	-	chr11	135127769	308655	135125229
haplotype1-0000020	61591324	136831	61584498	+	chr19	61707364	152469	61703816
haplotype1-0000021	96898851	88167	96891023	+	chr14	101161492	2632498	101160130
haplotype2-0000030	135518427	8233	135511077	+	chr9	150617247	4869	150614657
haplotype2-0000031	153517257	5686	153271338	-	chrX	154259566	238339	154257429
haplotype2-0000032	67284475	4464	67278442	-	chr20	66210255	2634	66207482
haplotype2-0000033	161798745	9859	161793465	-	chr7	160567428	3497	160565311
haplotype2-0000034	96344415	26428	96335051	+	chr14	101161492	2721042	101159988
haplotype2-0000035	192458221	7701	192450991	-	chr4	193574945	3231	193572599
haplotype2-0000036	145700646	6619	145695248	-	chr8	146259331	2183	146254006
haplotype2-0000037	134323234	102247	134317107	+	chr12	133324548	96726	133322223
haplotype2-0000038	61729665	7099	61592925	-	chr19	61707364	152469	61703816
haplotype2-0000039	91601995	8239	91596921	+	chr16	96330374	3490	96327728
haplotype2-0000040	182531948	7749	182524589	-	chr5	182045439	2862	182043960
haplotype2-0000041	134514262	4519	134504839	+	chr10	134758134	2638	134755100
haplotype2-0000042	172560102	22496	172455650	-	chr6	172126628	2875	172119828
haplotype2-0000043	81609658	105888	81602791	+	chr18	80542538	263528	80539139
haplotype2-0000045	241804328	7997	241798145	+	chr2	242696752	3349	242694129
haplotype2-0000046	200897631	8077	200880328	+	chr3	201105948	2645	201088876
haplotype2-0000047	253302552	5753	253292348	+	chr1	248387328	2717	248383557
haplotype2-0000049	83935590	7373	83930589	+	chr17	84276897	2180	84274048
haplotype2-0000051	134985650	9172	134979201	-	chr11	135127769	1805	135125229
