#sample	chromosome	dataset_name0	dataset_name1	file_name0	file_name1	intersection_blocks	covered_variants	all_assessed_pairs	all_switches	all_switch_rate	all_switchflips	all_switchflip_rate	blockwise_hamming	blockwise_hamming_rate	blockwise_diff_genotypes	blockwise_diff_genotypes_rate	largestblock_assessed_pairs	largestblock_switches	largestblock_switch_rate	largestblock_switchflips	largestblock_switchflip_rate	largestblock_hamming	largestblock_hamming_rate	largestblock_diff_genotypes	largestblock_diff_genotypes_rate	het_variants0	only_snvs
SAMPLE	chr1	giab	assembly	assembly/qc/phased_verkko/GE-MED-T2T06/giab.filtered.vcf.gz	assembly/qc/phased_verkko/GE-MED-T2T06/assembly.filtered.vcf.gz	1	2038	2037	117	0.05743740795287187	67/25	0.045164457535591555	873	0.4283611383709519	0	0.0	2037	117	0.05743740795287187	67/25	0.045164457535591555	873	0.4283611383709519	0	0.0	37784	0
SAMPLE	chr10	giab	assembly	assembly/qc/phased_verkko/GE-MED-T2T06/giab.filtered.vcf.gz	assembly/qc/phased_verkko/GE-MED-T2T06/assembly.filtered.vcf.gz	1	1254	1253	104	0.08300079808459697	56/24	0.06384676775738228	571	0.45534290271132377	0	0.0	1253	104	0.08300079808459697	56/24	0.06384676775738228	571	0.45534290271132377	0	0.0	34726	0
SAMPLE	chr11	giab	assembly	assembly/qc/phased_verkko/GE-MED-T2T06/giab.filtered.vcf.gz	assembly/qc/phased_verkko/GE-MED-T2T06/assembly.filtered.vcf.gz	1	2243	2242	79	0.0352363960749331	53/13	0.029438001784121322	853	0.38029424877396345	0	0.0	2242	79	0.0352363960749331	53/13	0.029438001784121322	853	0.38029424877396345	0	0.0	30023	0
SAMPLE	chr12	giab	assembly	assembly/qc/phased_verkko/GE-MED-T2T06/giab.filtered.vcf.gz	assembly/qc/phased_verkko/GE-MED-T2T06/assembly.filtered.vcf.gz	1	1141	1140	76	0.06666666666666667	46/15	0.05350877192982456	469	0.4110429447852761	0	0.0	1140	76	0.06666666666666667	46/15	0.05350877192982456	469	0.4110429447852761	0	0.0	33598	0
SAMPLE	chr13	giab	assembly	assembly/qc/phased_verkko/GE-MED-T2T06/giab.filtered.vcf.gz	assembly/qc/phased_verkko/GE-MED-T2T06/assembly.filtered.vcf.gz	1	2526	2525	68	0.02693069306930693	40/14	0.021386138613861388	893	0.35352335708630245	0	0.0	2525	68	0.02693069306930693	40/14	0.021386138613861388	893	0.35352335708630245	0	0.0	22825	0
SAMPLE	chr14	giab	assembly	assembly/qc/phased_verkko/GE-MED-T2T06/giab.filtered.vcf.gz	assembly/qc/phased_verkko/GE-MED-T2T06/assembly.filtered.vcf.gz	1	862	861	48	0.05574912891986063	28/10	0.04413472706155633	259	0.3004640371229698	0	0.0	861	48	0.05574912891986063	28/10	0.04413472706155633	259	0.3004640371229698	0	0.0	28589	0
SAMPLE	chr15	giab	assembly	assembly/qc/phased_verkko/GE-MED-T2T06/giab.filtered.vcf.gz	assembly/qc/phased_verkko/GE-MED-T2T06/assembly.filtered.vcf.gz	1	691	690	15	0.021739130434782608	7/4	0.015942028985507246	70	0.10130246020260492	0	0.0	690	15	0.021739130434782608	7/4	0.015942028985507246	70	0.10130246020260492	0	0.0	33779	0
SAMPLE	chr16	giab	assembly	assembly/qc/phased_verkko/GE-MED-T2T06/giab.filtered.vcf.gz	assembly/qc/phased_verkko/GE-MED-T2T06/assembly.filtered.vcf.gz	1	521	520	35	0.0673076923076923	19/8	0.051923076923076926	193	0.3704414587332054	0	0.0	520	35	0.0673076923076923	19/8	0.051923076923076926	193	0.3704414587332054	0	0.0	25660	0
SAMPLE	chr17	giab	assembly	assembly/qc/phased_verkko/GE-MED-T2T06/giab.filtered.vcf.gz	assembly/qc/phased_verkko/GE-MED-T2T06/assembly.filtered.vcf.gz	1	31	30	6	0.2	4/1	0.16666666666666666	9	0.2903225806451613	0	0.0	30	6	0.2	4/1	0.16666666666666666	9	0.2903225806451613	0	0.0	27335	0
SAMPLE	chr18	giab	assembly	assembly/qc/phased_verkko/GE-MED-T2T06/giab.filtered.vcf.gz	assembly/qc/phased_verkko/GE-MED-T2T06/assembly.filtered.vcf.gz	1	308	307	21	0.06840390879478828	11/5	0.05211726384364821	146	0.474025974025974	0	0.0	307	21	0.06840390879478828	11/5	0.05211726384364821	146	0.474025974025974	0	0.0	12512	0
