asm_name	haplotype	MMC	MSC	asm_covered	candidate_inversions_at_contig_ends	candidate_inversions_in_the_middle	genome_completeness	inter-chromosomal_misjoins	intra-chromosomal_gaps	length	n_T2T	n_contigs	n_contigs_over_10mb	ref_covered	total_gaps	total_n_count
HG002	haplotype1	0.19	0.05	0.97	0	1	94.57	6	11	2947895164	39	23	23	0.91	4	7634253
HG002	haplotype2	0.21	0.02	0.97	2	1	98.47	0	8	3051529554	39	24	23	0.94	5	23417769
HG00272	haplotype1	0.22	0.02	0.96	2	2	98.38	2	6	3041251865	27	74	25	0.93	21	4043214
HG00272	haplotype2	0.23	0.02	0.97	3	0	98.43	0	7	3041009244	25	68	26	0.94	29	3880093
HG005	haplotype1	0.21	0.05	0.97	0	1	94.58	1	11	2936560154	19	110	29	0.9	16	4283201
HG005	haplotype2	0.22	0.02	0.97	3	0	98.43	0	7	3039594550	19	135	29	0.94	22	5656681
HG00639	haplotype1	0.25	0.02	0.97	0	1	98.31	2	8	3019487537	27	73	27	0.93	10	887028
HG00639	haplotype2	0.22	0.02	0.96	0	1	98.43	1	8	3035663863	25	80	27	0.93	12	97483
HG01252	haplotype1	0.18	0.05	0.96	2	6	94.72	4	6	2927093043	25	68	27	0.9	3	29676
HG01252	haplotype2	0.22	0.02	0.97	2	1	98.34	1	10	3036106664	25	75	29	0.94	13	5055234
HG01361	haplotype1	0.21	0.02	0.97	0	2	98.46	2	4	3024996016	31	85	25	0.93	22	3055916
HG01361	haplotype2	0.25	0.02	0.97	0	0	98.4	0	14	3037739883	31	87	25	0.94	18	1094090
HG02083	haplotype1	0.21	0.05	0.97	0	3	94.65	3	9	2949481628	23	75	29	0.9	15	2791566
HG02083	haplotype2	0.24	0.02	0.97	1	2	98.39	0	5	3026866187	23	71	30	0.93	12	3184601
HG02155	haplotype1	0.25	0.02	0.97	4	1	98.41	1	8	3028269862	25	83	28	0.93	10	1116828
HG02155	haplotype2	0.21	0.01	0.97	3	0	98.5	0	7	3032908006	21	82	29	0.93	17	5065941
HG03834	haplotype1	0.21	0.02	0.97	0	1	98.39	1	8	3042936088	27	87	28	0.94	24	8828001
HG03834	haplotype2	0.21	0.02	0.97	0	2	98.28	0	10	3035962555	23	86	28	0.94	13	2070153
HG04228	haplotype1	0.22	0.05	0.96	0	2	94.51	2	7	2932691154	27	93	28	0.9	13	1087736
HG04228	haplotype2	0.24	0.01	0.97	2	0	98.59	0	6	3019442738	29	62	28	0.93	9	340452
HG06807	haplotype1	0.25	0.02	0.96	2	2	98.29	3	9	3025370803	37	23	23	0.93	9	2450994
HG06807	haplotype2	0.22	0.02	0.97	0	0	98.16	1	5	3018902280	41	24	23	0.93	8	1394984
NA18522	haplotype1	0.18	0.06	0.95	1	3	94.3	1	11	2946461234	29	86	25	0.89	12	5772364
NA18522	haplotype2	0.22	0.02	0.97	0	1	98.14	4	6	3032450852	29	78	25	0.93	20	2574905
NA18747	haplotype1	0.22	0.05	0.97	2	1	94.58	1	9	2935934041	13	76	32	0.9	14	118702
NA18747	haplotype2	0.23	0.02	0.97	1	3	98.38	0	9	3029714943	19	76	30	0.94	12	3327191
NA18948	haplotype1	0.21	0.05	0.97	2	0	94.62	3	11	2911939063	27	50	23	0.9	19	1900
NA18948	haplotype2	0.22	0.02	0.96	2	0	98.38	0	5	3051108770	19	62	23	0.93	30	3000
NA19043	haplotype1	0.18	0.06	0.96	0	2	94.27	2	6	2932179058	23	74	27	0.89	14	5036399
NA19043	haplotype2	0.21	0.02	0.96	0	4	98.14	1	7	3025972752	23	78	27	0.93	12	2423162
NA20503	haplotype1	0.22	0.02	0.97	0	1	97.96	2	8	3011895543	31	38	23	0.93	14	1023558
NA20503	haplotype2	0.21	0.02	0.97	0	2	98.21	0	10	3021981611	31	43	23	0.93	21	1192970
NA20762	haplotype1	0.21	0.06	0.97	2	2	94.01	2	16	2910590402	29	32	23	0.9	17	804329
NA20762	haplotype2	0.23	0.02	0.97	0	1	97.92	1	13	3016800655	27	36	23	0.93	25	970892
NA20806	haplotype1	0.18	0.05	0.97	0	3	94.81	2	8	2897340138	33	31	24	0.9	12	637836
NA20806	haplotype2	0.2	0.01	0.97	0	1	98.6	0	10	3051587412	33	35	23	0.94	9	434917
NA20809	haplotype1	0.18	0.05	0.96	0	1	94.71	1	8	2957426484	13	102	33	0.9	13	2347360
NA20809	haplotype2	0.22	0.02	0.98	3	1	98.38	0	9	3003400650	13	104	34	0.94	16	358557
NA20827	haplotype1	0.18	0.05	0.97	4	0	94.65	2	13	2915641356	35	42	23	0.9	21	1256510
NA20827	haplotype2	0.23	0.01	0.97	0	2	98.51	1	11	3029380097	37	40	23	0.94	24	1410481
