metric	value	haplotype	asm_method	asm_name	source	chromosome
Number of mapped sequences	1001	haplotype1	phased_verkko	TUE_01	stat	NA
Number of primary alignments	11176	haplotype1	phased_verkko	TUE_01	stat	NA
Number of secondary alignments	5071	haplotype1	phased_verkko	TUE_01	stat	NA
Number of primary alignments with >65535 CIGAR operations	0	haplotype1	phased_verkko	TUE_01	stat	NA
Number of bases in mapped sequences	2940517220	haplotype1	phased_verkko	TUE_01	stat	NA
Number of mapped bases	2906206873	haplotype1	phased_verkko	TUE_01	stat	NA
Number of substitutions	3182905	haplotype1	phased_verkko	TUE_01	stat	NA
Number of insertions in [0,50)	369903	haplotype1	phased_verkko	TUE_01	stat	NA
Number of insertions in [50,100)	3000	haplotype1	phased_verkko	TUE_01	stat	NA
Number of insertions in [100,300)	2654	haplotype1	phased_verkko	TUE_01	stat	NA
Number of insertions in [300,400)	1898	haplotype1	phased_verkko	TUE_01	stat	NA
Number of insertions in [400,1000)	1692	haplotype1	phased_verkko	TUE_01	stat	NA
Number of insertions in [1000,inf)	2223	haplotype1	phased_verkko	TUE_01	stat	NA
Number of deletions in [0,50)	505071	haplotype1	phased_verkko	TUE_01	stat	NA
Number of deletions in [50,100)	3190	haplotype1	phased_verkko	TUE_01	stat	NA
Number of deletions in [100,300)	2726	haplotype1	phased_verkko	TUE_01	stat	NA
Number of deletions in [300,400)	2172	haplotype1	phased_verkko	TUE_01	stat	NA
Number of deletions in [400,1000)	1956	haplotype1	phased_verkko	TUE_01	stat	NA
Number of deletions in [1000,inf)	2176	haplotype1	phased_verkko	TUE_01	stat	NA
Number of mapped sequences	827	haplotype2	phased_verkko	TUE_01	stat	NA
Number of primary alignments	12680	haplotype2	phased_verkko	TUE_01	stat	NA
Number of secondary alignments	2163	haplotype2	phased_verkko	TUE_01	stat	NA
Number of primary alignments with >65535 CIGAR operations	0	haplotype2	phased_verkko	TUE_01	stat	NA
Number of bases in mapped sequences	3078219692	haplotype2	phased_verkko	TUE_01	stat	NA
Number of mapped bases	3043401575	haplotype2	phased_verkko	TUE_01	stat	NA
Number of substitutions	3616306	haplotype2	phased_verkko	TUE_01	stat	NA
Number of insertions in [0,50)	381033	haplotype2	phased_verkko	TUE_01	stat	NA
Number of insertions in [50,100)	3092	haplotype2	phased_verkko	TUE_01	stat	NA
Number of insertions in [100,300)	2725	haplotype2	phased_verkko	TUE_01	stat	NA
Number of insertions in [300,400)	2030	haplotype2	phased_verkko	TUE_01	stat	NA
Number of insertions in [400,1000)	1695	haplotype2	phased_verkko	TUE_01	stat	NA
Number of insertions in [1000,inf)	2464	haplotype2	phased_verkko	TUE_01	stat	NA
Number of deletions in [0,50)	522945	haplotype2	phased_verkko	TUE_01	stat	NA
Number of deletions in [50,100)	3288	haplotype2	phased_verkko	TUE_01	stat	NA
Number of deletions in [100,300)	2856	haplotype2	phased_verkko	TUE_01	stat	NA
Number of deletions in [300,400)	1959	haplotype2	phased_verkko	TUE_01	stat	NA
