sample	category	subcategory	sv_type	count	total_length	mean_length
T2T02	total	all_svs	all	55920	58966294	1054.475929899857
T2T02	sv_type	BND	BND	12	0	0.0
T2T02	sv_type	DEL	DEL	28284	28181848	996.388346768491
T2T02	sv_type	DUP:TANDEM	DUP:TANDEM	23	20621	896.5652173913044
T2T02	sv_type	INS	INS	27567	30763825	1115.9656473319549
T2T02	sv_type	INV	INV	34	0	0.0
T2T02	zygosity	ALT_HOM	all	9601	0	0
T2T02	zygosity	HET	all	46319	0	0
T2T02	zygosity	HET	BND	12	0	0
T2T02	zygosity	ALT_HOM	DEL	5033	0	0
T2T02	zygosity	HET	DEL	23251	0	0
T2T02	zygosity	ALT_HOM	DUP:TANDEM	1	0	0
T2T02	zygosity	HET	DUP:TANDEM	22	0	0
T2T02	zygosity	ALT_HOM	INS	4559	0	0
T2T02	zygosity	HET	INS	23008	0	0
T2T02	zygosity	ALT_HOM	INV	8	0	0
T2T02	zygosity	HET	INV	26	0	0
T2T02	size_class	large (500bp-5kb)	all	13365	0	0
T2T02	size_class	massive (>50kb)	all	149	0	0
T2T02	size_class	medium (50-500bp)	all	27722	0	0
T2T02	size_class	small (<50bp)	all	12945	0	0
T2T02	size_class	very_large (5kb-50kb)	all	1739	0	0
T2T02	size_class	small (<50bp)	BND	12	0	0
T2T02	size_class	large (500bp-5kb)	DEL	7034	0	0
T2T02	size_class	massive (>50kb)	DEL	48	0	0
T2T02	size_class	medium (50-500bp)	DEL	13862	0	0
T2T02	size_class	small (<50bp)	DEL	6430	0	0
T2T02	size_class	very_large (5kb-50kb)	DEL	910	0	0
T2T02	size_class	large (500bp-5kb)	DUP:TANDEM	17	0	0
T2T02	size_class	medium (50-500bp)	DUP:TANDEM	6	0	0
T2T02	size_class	large (500bp-5kb)	INS	6314	0	0
T2T02	size_class	massive (>50kb)	INS	101	0	0
T2T02	size_class	medium (50-500bp)	INS	13854	0	0
T2T02	size_class	small (<50bp)	INS	6469	0	0
T2T02	size_class	very_large (5kb-50kb)	INS	829	0	0
T2T02	size_class	small (<50bp)	INV	34	0	0
T2T02	haplotype	both	all	9601	0	0
T2T02	haplotype	haplotype1	all	23803	0	0
T2T02	haplotype	haplotype2	all	22516	0	0
T2T02	haplotype	haplotype1	BND	4	0	0
T2T02	haplotype	haplotype2	BND	8	0	0
T2T02	haplotype	both	DEL	5033	0	0
T2T02	haplotype	haplotype1	DEL	11832	0	0
T2T02	haplotype	haplotype2	DEL	11419	0	0
T2T02	haplotype	both	DUP:TANDEM	1	0	0
T2T02	haplotype	haplotype1	DUP:TANDEM	12	0	0
T2T02	haplotype	haplotype2	DUP:TANDEM	10	0	0
T2T02	haplotype	both	INS	4559	0	0
T2T02	haplotype	haplotype1	INS	11941	0	0
T2T02	haplotype	haplotype2	INS	11067	0	0
T2T02	haplotype	both	INV	8	0	0
T2T02	haplotype	haplotype1	INV	14	0	0
T2T02	haplotype	haplotype2	INV	12	0	0
T2T02	phasing	phased	all	55920	0	0
T2T02	chromosome	chr1	all	4551	0	0
T2T02	chromosome	chr2	all	3366	0	0
T2T02	chromosome	chr3	all	2486	0	0
T2T02	chromosome	chr4	all	2253	0	0
T2T02	chromosome	chr5	all	2560	0	0
T2T02	chromosome	chr6	all	2137	0	0
T2T02	chromosome	chr7	all	2561	0	0
T2T02	chromosome	chr8	all	2512	0	0
T2T02	chromosome	chr9	all	5296	0	0
T2T02	chromosome	chrX	all	955	0	0
T2T02	chromosome	chrY	all	866	0	0
T2T02	chromosome	chr10	all	2699	0	0
T2T02	chromosome	chr11	all	1874	0	0
T2T02	chromosome	chr12	all	1675	0	0
T2T02	chromosome	chr13	all	2627	0	0
T2T02	chromosome	chr14	all	2129	0	0
T2T02	chromosome	chr15	all	2403	0	0
T2T02	chromosome	chr16	all	2493	0	0
T2T02	chromosome	chr17	all	1484	0	0
T2T02	chromosome	chr18	all	1758	0	0
T2T02	chromosome	chr19	all	1432	0	0
T2T02	chromosome	chr20	all	1876	0	0
T2T02	chromosome	chr21	all	1636	0	0
T2T02	chromosome	chr22	all	2291	0	0
T2T02	chromosome	chr1	DEL	2262	0	0
T2T02	chromosome	chr2	DEL	1656	0	0
T2T02	chromosome	chr3	DEL	1280	0	0
T2T02	chromosome	chr4	DEL	1056	0	0
T2T02	chromosome	chr5	DEL	1259	0	0
T2T02	chromosome	chr6	DEL	1035	0	0
T2T02	chromosome	chr7	DEL	1327	0	0
T2T02	chromosome	chr8	DEL	1204	0	0
T2T02	chromosome	chr9	DEL	2744	0	0
T2T02	chromosome	chrX	DEL	456	0	0
T2T02	chromosome	chrY	DEL	373	0	0
T2T02	chromosome	chr10	DEL	1359	0	0
T2T02	chromosome	chr11	DEL	1014	0	0
T2T02	chromosome	chr12	DEL	820	0	0
T2T02	chromosome	chr13	DEL	1410	0	0
T2T02	chromosome	chr14	DEL	1105	0	0
T2T02	chromosome	chr15	DEL	1257	0	0
T2T02	chromosome	chr16	DEL	1312	0	0
T2T02	chromosome	chr17	DEL	725	0	0
T2T02	chromosome	chr18	DEL	945	0	0
T2T02	chromosome	chr19	DEL	766	0	0
T2T02	chromosome	chr20	DEL	998	0	0
T2T02	chromosome	chr21	DEL	806	0	0
T2T02	chromosome	chr22	DEL	1115	0	0
T2T02	chromosome	chr1	INS	2286	0	0
T2T02	chromosome	chr2	INS	1696	0	0
T2T02	chromosome	chr3	INS	1203	0	0
T2T02	chromosome	chr4	INS	1191	0	0
T2T02	chromosome	chr5	INS	1297	0	0
T2T02	chromosome	chr6	INS	1097	0	0
T2T02	chromosome	chr7	INS	1231	0	0
T2T02	chromosome	chr8	INS	1306	0	0
T2T02	chromosome	chr9	INS	2549	0	0
T2T02	chromosome	chrX	INS	499	0	0
T2T02	chromosome	chrY	INS	487	0	0
T2T02	chromosome	chr10	INS	1336	0	0
T2T02	chromosome	chr11	INS	859	0	0
T2T02	chromosome	chr12	INS	854	0	0
T2T02	chromosome	chr13	INS	1216	0	0
T2T02	chromosome	chr14	INS	1023	0	0
T2T02	chromosome	chr15	INS	1145	0	0
T2T02	chromosome	chr16	INS	1179	0	0
T2T02	chromosome	chr17	INS	758	0	0
T2T02	chromosome	chr18	INS	812	0	0
T2T02	chromosome	chr19	INS	665	0	0
T2T02	chromosome	chr20	INS	876	0	0
T2T02	chromosome	chr21	INS	828	0	0
T2T02	chromosome	chr22	INS	1174	0	0
