File name::assembly/qc/phased_verkko/T2T19/T2T_contigs.haplotype1.paf, l.n::132
haplotype1-0000001	135293587	7991	135285025	+	chr9	150617247	4850	150614384
haplotype1-0000002	67008032	5715	66998101	-	chr20	66210255	3825	66107642
haplotype1-0000003	161646333	10862	161637800	-	chr7	160567428	3374	160565222
haplotype1-0000004	60179005	4391	60169845	+	chrY	62460029	5647	62452636
haplotype1-0000005	193246514	38109	193239326	-	chr4	193574945	2936	193533541
haplotype1-0000006	146293246	6469	146146209	-	chr8	146259331	2068	146253993
haplotype1-0000007	134119059	5816	134113181	+	chr12	133324548	2768	133321561
haplotype1-0000008	92366156	7495	92358619	+	chr16	96330374	4102	96327303
haplotype1-0000009	183194122	11333	183188201	-	chr5	182045439	2287	182032067
haplotype1-0000011	135844857	8676	135808636	+	chr10	134758134	3895	134692782
haplotype1-0000012	174207470	31928	174103186	-	chr6	172126628	2882	172094329
haplotype1-0000013	81613796	7419	81607299	+	chr18	80542538	165161	80538995
haplotype1-0000015	243313638	8739	243305952	+	chr2	242696752	3355	242694142
haplotype1-0000016	201158829	11580	201150336	+	chr3	201105948	2631	201100240
haplotype1-0000017	246298668	8232	246291910	+	chr1	248387328	3255	248384213
haplotype1-0000018	84581787	5670	84575603	-	chr17	84276897	2214	84274041
haplotype1-0000019	135484535	10159	135477283	-	chr11	135127769	3129	135124313
haplotype1-0000020	61591324	7941	61584313	+	chr19	61707364	3367	61703631
