Chromosome	Start	End	Methylated_allele	Name	Reference	All_CpGs_At_iDMR_CouldBeExaminedInBothHaplotypes	DifferentiallyMethylatedCpGs_HypermethylatedOnHP1	DifferentiallyMethylatedCpGs_HypermethylatedOnHP2	MeanDiffMethylationOf_DifferentiallyMethylatedCpGs_HypermethylatedOnHP1	MeanDiffMethylationOf_DifferentiallyMethylatedCpGs_HypermethylatedOnHP2	MethylationFrequency_HP1	MethylationFrequency_HP2	Included_Or_Ignored_For_PofO_Assignment
chr1	11044370	11044544	Maternal	PTCHD2	Hernandez	20	0	16	0	0.2002	0.50184	0.69839	Included
chr1	21120031	21120143	Maternal	ECE1;LOC100506801	Hernandez	5	0	0	0	0	0.50397	0.63961	Ignored:DidNotMeet_cpg_difference
chr1	32329102	32329320	Maternal	ZBTB8B	Joshi	9	0	0	0	0	0.63007	0.66569	Ignored:DidNotMeet_cpg_difference
chr1	39384177	39384444	Maternal	BMP8A	Akbari	19	0	1	0	0.13284	0.25955	0.38517	Ignored:DidNotMeet_cpg_difference
chr1	39427318	39428447	Maternal	PPIEL,PABPC4	Akbari,Court,Hernandez,Joshi,Zink	52	0	44	0	0.58315	0.44883	0.9607	Included
chr1	67924206	67929467	Maternal	DIRAS3,DIRAS3_Ex2,GNG12-AS1	Akbari,Court,Hernandez,Joshi,Zink	136	0	130	0	0.69441	0.27338	0.94094	Included
chr1	176387296	176387476	Maternal	ASTN1	Zink	15	0	0	0	0	0.95446	0.86697	Ignored:DidNotMeet_cpg_difference
chr1	227504793	227504903	Maternal	OBSCN	Joshi	8	0	0	0	0	0.96397	0.96903	Ignored:DidNotMeet_cpg_difference
chr10	13172944	13173273	Maternal	BTBD7P1	Akbari	27	27	0	0.2859	0	0.82395	0.53805	Included
chr10	27443798	27444893	Maternal	PTCHD3	Akbari,Hernandez	72	0	72	0	0.48436	0.43913	0.92348	Included
chr10	98458604	98458947	Maternal	ANKRD2	Akbari	19	13	0	0.22143	0	0.77304	0.57114	Included
chr10	120716003	120716796	Maternal	INPP5F	Akbari,Court,Hernandez	64	0	64	0	0.37535	0.59449	0.96984	Included
chr10	124869055	124869380	Maternal	YBX2P1	Akbari	32	0	32	0	0.64312	0.12959	0.77271	Included
chr11	2085259	2091234	Paternal	H19,H19/IGF2	Akbari,Court,Hernandez	250	241	0	0.81509	0	0.93278	0.14312	Included
chr11	2220004	2221535	Paternal	IGF2_DMR2,IGF2,INS-IGF2	Akbari,Court,Hernandez,Zink	68	61	0	0.4357	0	0.82211	0.41978	Included
chr11	2233014	2236942	Paternal	IGF2_DMR0,IGF2,IGF2-AS,INS-IGF2	Akbari,Court,Hernandez,Zink	98	78	0	0.4784	0	0.6588	0.24579	Included
chr11	2787890	2790647	Maternal	KvDMR1,KCNQ1,KCNQ1OT1	Akbari,Court,Hernandez,Zink	205	0	203	0	0.90121	0.08028	0.97431	Included
chr11	7147542	7148122	Maternal	RBMXL2	Akbari,Hernandez,Zink	55	0	55	0	0.29248	0.65413	0.94662	Included
chr11	132831291	132831483	Maternal	OPCML	Hernandez	10	0	10	0	0.25999	0.51084	0.77083	Included
chr11	133121414	133122305	Maternal	OPCML	Akbari	45	0	43	0	0.3105	0.53725	0.83984	Included
chr12	200351	201073	Maternal	SLC6A12,RP11-283I3.2	Zink	85	84	0	0.54801	0	0.7287	0.18443	Included
chr12	3845430	3845920	Paternal	PARP11	Akbari	69	69	0	0.456	0	0.68818	0.23218	Included
chr12	6454803	6455271	Maternal	CD27,CD27-AS1,LOC678655	Hernandez	8	0	0	0	0	0.71065	0.63278	Ignored:DidNotMeet_cpg_difference
chr12	14651159	14651402	Maternal	H2AFJ	Hernandez	13	0	0	0	0	0.2367	0.35767	Ignored:DidNotMeet_cpg_difference
chr12	30992265	30994810	Maternal	AC024940.1	Akbari	143	140	0	0.70387	0	0.75379	0.06176	Included
chr12	30996914	30997274	Maternal	AC024940.1	Akbari	19	2	0	0.24709	0	0.72046	0.56064	Included
chr12	96198127	96198449	Paternal	ELK3	Hernandez	7	7	0	0.49408	0	0.79565	0.30157	Included
chr12	130374845	130375163	Maternal	PIWIL1	Hernandez	40	40	0	0.21793	0	0.92079	0.70287	Included
chr13	19317211	19317685	Maternal	GJA3	Akbari	25	0	0	0	0	0.55008	0.42616	Ignored:DidNotMeet_cpg_difference
chr13	47537482	47542150	Maternal	RB1,PPP1R26P1	Akbari,Court,Hernandez,Joshi,Zink	258	249	0	0.7045	0	0.96745	0.28425	Included
chr13	47630529	47633749	Maternal	LPAR6,RB1	Akbari	29	25	0	0.62759	0	0.8693	0.29765	Included
chr13	59487091	59488917	Maternal	TARDBPP2	Akbari,Hernandez,Zink	39	35	0	0.55753	0	0.75423	0.24365	Included
chr13	98425642	98426046	Paternal	UBAC2	Akbari	18	0	0	0	0	0.72181	0.60156	Ignored:DidNotMeet_cpg_difference
chr13	100190731	100191002	Maternal	NALCN-AS1	Akbari	21	0	0	0	0	0.78464	0.77798	Ignored:DidNotMeet_cpg_difference
chr14	27997060	27998007	Maternal	NPAS3	Akbari,Zink	117	117	0	0.4965	0	0.70843	0.21193	Included
chr14	46476152	46476528	Maternal	PTGDR	Akbari	18	0	0	0	0	0.424	0.33207	Ignored:DidNotMeet_cpg_difference
chr14	94961427	94961490	Paternal	DLK1	Joshi,Zink	7	0	0	0	0	0.36207	0.49518	Ignored:DidNotMeet_cpg_difference
chr14	95042558	95046625	Paternal	IG-DMR,MEG3,MEG3/DLK1	Akbari,Court,Hernandez,Zink	96	0	57	0	0.5714	0.55376	0.94833	Included
chr14	95058592	95063118	Paternal	MEG3,AL117190.1	Akbari,Court,Hernandez,Joshi,Zink	246	0	244	0	0.72778	0.21975	0.94363	Included
chr14	95135834	95136700	Maternal	MEG8,SNHG23	Zink	27	13	0	0.37748	0	0.44237	0.2159	Included
chr14	95139591	95140676	Maternal	MEG8,SNHG23	Akbari,Court,Hernandez,Zink	52	48	0	0.68462	0	0.77405	0.12589	Included
chr14	100719510	100719614	Maternal	IGHV3-37	Hernandez	10	0	0	0	0	0.7514	0.82048	Ignored:DidNotMeet_cpg_difference
