File name::assembly/qc/phased_verkko/T2T00_2/T2T_contigs.both.paf, l.n::1518
haplotype1-0000004	143160885	4768	143015023	-	chr8	146259331	2068	146253993
haplotype1-0000006	201252907	6	201246675	+	chr3	201105948	12831	201100860
haplotype1-0000010	148973601	1129919	148973283	+	chrX	154259566	928951	152483443
haplotype1-0000011	170893190	6379	170789731	-	chr6	172126628	2882	172122275
haplotype1-0000012	134421491	5357	134421139	+	chr10	134758134	3895	134626885
haplotype1-0000013	191384301	35274	191383894	-	chr4	193574945	4135	193499929
haplotype1-0000014	181416527	3763	181412258	-	chr5	182045439	2287	182044180
haplotype1-0000032	81240085	6324	81233633	-	chr17	84276897	33519	84272758
haplotype1-0000041	65917646	5691	65912641	+	chr20	66210255	3609	66207456
haplotype1-0000058	133006520	6608	133002723	+	chr12	133324548	4043	133322410
haplotype1-0000059	79314272	5051	79308075	+	chr18	80542538	164922	80538991
haplotype1-0000061	133673963	4941	133669407	-	chr11	135127769	1725	135125193
haplotype2-0000578	199907828	4681	199755923	+	chr3	201105948	2631	201021047
haplotype2-0000582	180710793	3763	180705486	-	chr5	182045439	2287	182044180
haplotype2-0000588	135494912	5337	135494860	+	chr10	134758134	3895	134593616
haplotype2-0000592	191157798	46519	191150950	-	chr4	193574945	3254	193542790
haplotype2-0000595	135437404	4793	135431844	+	chr11	135127769	2922	135124313
haplotype2-0000597	58845483	8499	58839475	-	chr19	61707364	4131	61703624
haplotype2-0000601	78199193	4179	78192304	-	chr18	80542538	165161	80538991
haplotype2-0000606	161628161	5102	161628002	-	chr7	160567428	64213	160565462
haplotype2-0000613	65885422	4853	65796786	+	chr20	66210255	2724	66189617
haplotype2-0000616	153224124	3728	153223965	+	chrX	154259566	1815	152659332
haplotype2-0000620	132769935	4931	132765680	+	chr12	133324548	3359	133322282
