File name::assembly/qc/phased_verkko/TUE_02_04UL_02DX/T2T_contigs.both.paf, l.n::462
haplotype1-0000001	159957003	6629	159950361	+	chr7	160567428	3374	160564029
haplotype1-0000002	53303495	5204	53298509	-	chrY	62460029	5649	62453933
haplotype1-0000004	65410912	7243	65404066	-	chr20	66210255	2724	66205814
haplotype1-0000005	247554436	19292	247531522	+	chr1	248387328	6457	248384213
haplotype1-0000006	94781850	130874	94772924	+	chr15	99753195	4689067	99748717
haplotype1-0000007	242944485	5622	242935929	+	chr2	242696752	3355	242693051
haplotype1-0000008	92127007	7331	91913775	-	chr16	96330374	25639	96327790
haplotype1-0000009	183812202	77231	183804001	-	chr5	182045439	3403	181966202
haplotype1-0000010	49716237	5561	49707027	-	chr22	51324926	4940	51322011
haplotype1-0000011	145736612	147862	145731181	+	chr8	146259331	2068	146253993
haplotype1-0000012	102619395	5083	102586606	-	chr14	101161492	7316	101159045
haplotype1-0000014	136369279	6386	136363904	+	chr9	150617247	3677	150500186
haplotype1-0000016	200625963	6911	200618744	+	chr3	201105948	2631	201100860
haplotype1-0000018	62490036	7394	62484343	-	chr19	61707364	2061	61703624
haplotype1-0000019	133727524	6168	133720422	-	chr12	133324548	4043	133322282
haplotype1-0000020	83920794	7830	83915324	-	chr17	84276897	2214	84272758
haplotype1-0000021	136485363	38734	136476866	-	chr10	134758134	3895	134656311
haplotype1-0000022	79495838	5403	79489877	-	chr18	80542538	164380	80539358
haplotype1-0000023	191774443	37133	191767406	-	chr4	193574945	3254	193499929
haplotype1-0000024	136553014	6807	136546532	+	chr11	135127769	2922	135125193
haplotype1-0000025	172015248	105862	172006315	+	chr6	172126628	2882	172122275
haplotype2-0000084	154254994	4743	154244998	+	chrX	154259566	1815	154255197
haplotype2-0000086	159240374	472	159235290	+	chr7	160567428	10413	160565222
haplotype2-0000090	245033635	8438	245027399	+	chr1	248387328	3255	248384138
haplotype2-0000092	242535925	5722	242527608	+	chr2	242696752	3355	242693058
haplotype2-0000093	138627537	126640	138621330	-	chr9	150617247	3570	150576373
haplotype2-0000094	146074281	6901	145926991	-	chr8	146259331	2068	146253993
haplotype2-0000097	182129857	6637	182124626	+	chr5	182045439	2287	182044180
haplotype2-0000100	61711132	6219	61704666	-	chr19	61707364	3375	61703590
haplotype2-0000103	133652929	8741	133646792	-	chr12	133324548	3407	133322219
haplotype2-0000104	201018297	6551	201011441	+	chr3	201105948	2631	201101343
haplotype2-0000105	83848083	5823	83842428	-	chr17	84276897	2214	84274189
haplotype2-0000106	136481013	6839	136474816	-	chr10	134758134	3895	134755004
haplotype2-0000107	79952946	5192	79946565	-	chr18	80542538	164922	80538991
haplotype2-0000109	92894285	7300	92889072	+	chr16	96330374	3906	96327761
haplotype2-0000110	192038352	37558	192029101	-	chr4	193574945	3263	193490696
haplotype2-0000111	137001393	6645	136994753	+	chr11	135127769	1840	135125239
haplotype2-0000112	172884848	106111	172877329	+	chr6	172126628	2882	172123886
haplotype2-0000113	65001245	8491	64994693	+	chr20	66210255	2711	66205788
